System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.866	0.864	0.865				330	51	52
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.0	0.0	0				0	1	2
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	OBJECT.MANUSCR	0.0	0.0	0				0	2	2
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.782	0.896	0.835				43	12	5
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0				0	3	4
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.958	0.895	0.925				68	3	8
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.913	0.898	0.905				158	15	18
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.803	0.824	0.813				61	15	13
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.819	0.817	0.818				312	69	70
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.0	0.0	0				0	1	2
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	OBJECT.MANUSCR	0.0	0.0	0				0	2	2
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.727	0.833	0.777				40	15	8
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0				0	3	4
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.944	0.882	0.912				67	4	9
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.861	0.847	0.854				149	24	27
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.737	0.757	0.747				56	20	18
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.863	0.865	0.863	0.097	0.108	0.098			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	OBJECT.MANUSCR	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.796	0.903	0.872	0.198	0.294	0.186			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.965	0.895	0.923	0.121	0.087	0.159			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.925	0.911	0.916	0.069	0.067	0.088			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.8	0.82	0.829	0.261	0.275	0.329			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.813	0.815	0.812	0.119	0.125	0.122			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	OBJECT.MANUSCR	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.64	0.737	0.705	0.344	0.372	0.353			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.93	0.86	0.887	0.16	0.147	0.185			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	SCOPE	0.879	0.868	0.872	0.108	0.1	0.126			
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.694	0.716	0.721	0.321	0.328	0.367			
neurbsl_bundle3_ajmc_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
neurbsl_bundle3_ajmc_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
neurbsl_bundle3_ajmc_de_1	NE-NESTED-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL									
neurbsl_bundle3_ajmc_de_1	NE-NESTED-macro_doc-strict-TIME-ALL-LED-ALL	ALL									
