System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.676	0.839	0.749				292	140	56
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	3	3
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.0	0.0	0				0	1	3
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.437	0.66	0.525				31	40	16
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0				0	4	4
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.74	0.902	0.813				37	13	4
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.OTHER	0.0	0.0	0				0	3	4
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.824	0.927	0.872				140	30	11
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.FRAGM	0.0	0.0	0				0	1	2
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.658	0.928	0.77				77	40	6
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.SECLIT	0.583	0.7	0.636				7	5	3
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.6	0.744	0.664				259	173	89
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	3	3
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.0	0.0	0				0	1	3
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.408	0.617	0.492				29	42	18
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0				0	4	4
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.74	0.902	0.813				37	13	4
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.OTHER	0.0	0.0	0				0	3	4
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.688	0.775	0.729				117	53	34
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.FRAGM	0.0	0.0	0				0	1	2
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.59	0.831	0.69				69	48	14
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.SECLIT	0.583	0.7	0.636				7	5	3
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.703	0.858	0.763	0.143	0.176	0.083			
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_ajmc_en_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.453	0.71	0.579	0.304	0.31	0.341			
