System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.788	0.867	0.825				312	84	48
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	1	3
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.0	0.0	0				0	8	9
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.813	0.878	0.844				122	28	17
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.876	0.93	0.902				120	17	9
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK	0.7	0.875	0.778				70	30	10
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.707	0.778	0.741				280	116	80
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	1	3
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.0	0.0	0				0	8	9
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.747	0.806	0.775				112	38	27
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.788	0.837	0.812				108	29	21
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.6	0.75	0.667				60	40	20
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.793	0.865	0.823	0.084	0.107	0.091			
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS	0.825	0.898	0.851	0.115	0.156	0.106			
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.88	0.929	0.894	0.09	0.138	0.095			
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	WORK	0.701	0.906	0.778	0.143	0.173	0.137			
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.721	0.782	0.746	0.128	0.147	0.126			
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS	0.768	0.834	0.792	0.149	0.187	0.138			
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	SCOPE	0.815	0.864	0.829	0.133	0.161	0.148			
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	WORK	0.575	0.735	0.634	0.209	0.225	0.215			
