System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.769	0.822	0.795				1315	395	285
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.941	0.954	0.947				144	9	7
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.REG	0.536	0.551	0.544				81	70	66
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.55	0.579	0.564				11	9	8
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.831	0.89	0.859				397	81	49
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.FAC	0.36	0.5	0.419				9	16	9
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ORO	0.682	0.789	0.732				15	7	4
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.PHYS.GEO	0.324	0.393	0.355				11	23	17
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.PHYS.HYDRO	0.44	0.478	0.458				11	14	12
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.UNK	0.0	0.0	0				0	3	3
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG.ADM	0.558	0.558	0.558				24	19	19
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG.ENT	0.558	0.716	0.627				48	38	19
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG.ENT.PRESSAGENCY	0.529	0.45	0.486				9	8	11
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.COLL	0.0	0.0	0				0	3	5
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.IND	0.887	0.938	0.912				457	58	30
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.IND.ARTICLEAUTHOR	0.385	0.5	0.435				5	8	5
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD.DOCTR	0.5	0.333	0.4				1	1	2
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD.MEDIA	0.75	0.724	0.737				42	14	16
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME.DATE.ABS	0.781	0.943	0.855				50	14	3
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.685	0.733	0.708				1172	538	428
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.935	0.947	0.941				143	10	8
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.49	0.503	0.497				74	77	73
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.5	0.526	0.513				10	10	9
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.785	0.841	0.812				375	103	71
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.FAC	0.28	0.389	0.326				7	18	11
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ORO	0.636	0.737	0.683				14	8	5
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.GEO	0.265	0.321	0.29				9	25	19
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.HYDRO	0.44	0.478	0.458				11	14	12
