System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.639	0.8	0.711				814	459	203
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.674	0.832	0.745				492	238	99
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.333	0.38	0.355				30	60	49
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.645	0.841	0.73				292	161	55
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.595	0.744	0.661				757	516	260
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.644	0.795	0.712				470	260	121
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.222	0.253	0.237				20	70	59
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.589	0.769	0.667				267	186	80
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.553	0.747	0.788	0.183	0.425	0.262			
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.595	0.795	0.861	0.156	0.445	0.273			
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ORG	0.291	0.364	0.369	0.31	0.35	0.36			
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS	0.612	0.829	0.834	0.129	0.408	0.222			
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.508	0.691	0.727	0.198	0.397	0.263			
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.565	0.76	0.821	0.184	0.43	0.279			
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ORG	0.196	0.201	0.242	0.232	0.281	0.229			
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS	0.552	0.738	0.748	0.167	0.384	0.226			
