System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.512	0.642	0.57				1542	1470	860
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	HUMANPROD	0.0	0.0	0				0	5	15
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.556	0.658	0.602				804	643	418
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.338	0.435	0.381				154	301	200
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.529	0.72	0.61				584	521	227
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.429	0.537	0.477				1291	1721	1111
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.0	0.0	0				0	5	15
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.5	0.592	0.543				724	723	498
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.262	0.336	0.294				119	336	235
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.405	0.552	0.468				448	657	363
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.404	0.657	0.652	0.147	0.348	0.121			
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	HUMANPROD	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.427	0.658	0.666	0.196	0.384	0.163			
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ORG	0.286	0.435	0.375	0.212	0.31	0.158			
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PER	0.428	0.745	0.702	0.206	0.393	0.17			
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.319	0.52	0.515	0.15	0.285	0.137			
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	HUMANPROD	0.0	0.0	0.0	0.0	0.0	0.0			
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.352	0.553	0.555	0.203	0.329	0.182			
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ORG	0.197	0.237	0.25	0.193	0.243	0.173			
neurbsl_bundle3_newseye_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PER	0.317	0.554	0.519	0.172	0.299	0.158			
