System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.715	0.812	0.76				561	224	130
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	HUMANPROD	0.429	0.409	0.419				9	12	13
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.66	0.836	0.737				219	113	43
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.324	0.444	0.375				24	50	30
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.863	0.875	0.869				309	49	44
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.605	0.687	0.644				475	310	216
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.333	0.318	0.326				7	14	15
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.551	0.698	0.616				183	149	79
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.176	0.241	0.203				13	61	41
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.76	0.771	0.765				272	86	81
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.756	0.685	0.812	0.102	0.21	0.341			
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	HUMANPROD	0.433	0.583	0.537	0.444	0.473	0.464			
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.786	0.81	0.84	0.219	0.287	0.291			
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ORG	0.269	0.494	0.398	0.178	0.239	0.268			
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PER	0.744	0.684	0.8	0.259	0.33	0.404			
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.641	0.574	0.685	0.161	0.225	0.304			
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	HUMANPROD	0.3	0.333	0.35	0.456	0.458	0.441			
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.648	0.663	0.69	0.219	0.27	0.262			
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ORG	0.142	0.227	0.205	0.231	0.213	0.251			
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PER	0.676	0.617	0.725	0.277	0.329	0.387			
