System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.675	0.836	0.747				505	243	99
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	HUMANPROD	0.571	0.727	0.64				16	12	6
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.757	0.898	0.822				281	90	32
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.326	0.467	0.384				28	58	32
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.684	0.861	0.763				180	83	29
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.588	0.728	0.651				440	308	164
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.393	0.5	0.44				11	17	11
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.698	0.827	0.757				259	112	54
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.244	0.35	0.288				21	65	39
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.567	0.713	0.631				149	114	60
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.653	0.841	0.75	0.073	0.188	0.09			
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	HUMANPROD	0.47	0.65	0.61	0.393	0.419	0.415			
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.715	0.904	0.815	0.131	0.233	0.124			
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ORG	0.391	0.529	0.439	0.304	0.322	0.351			
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PER	0.683	0.906	0.809	0.176	0.308	0.112			
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.566	0.725	0.648	0.092	0.179	0.101			
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	HUMANPROD	0.321	0.464	0.424	0.395	0.376	0.435			
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.652	0.828	0.744	0.166	0.235	0.18			
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ORG	0.281	0.399	0.318	0.281	0.28	0.363			
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PER	0.528	0.685	0.623	0.263	0.316	0.242			
