System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.403	0.554	0.467				257	380	207
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.568	0.806	0.667				137	104	33
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.124	0.172	0.144				17	120	82
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.398	0.528	0.454				103	156	92
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.272	0.373	0.314				173	464	291
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.519	0.735	0.608				125	116	45
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.051	0.071	0.059				7	130	92
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.158	0.21	0.181				41	218	154
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.406	0.521	0.446	0.114	0.138	0.081			
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.561	0.797	0.62	0.185	0.212	0.173			
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ORG	0.112	0.157	0.11	0.104	0.116	0.16			
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PER	0.391	0.479	0.421	0.215	0.204	0.266			
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.291	0.367	0.318	0.129	0.133	0.12			
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.502	0.732	0.558	0.16	0.181	0.199			
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ORG	0.056	0.049	0.05	0.059	0.073	0.052			
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PER	0.189	0.23	0.203	0.118	0.109	0.147			
