System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.749	0.824	0.785				945	316	202
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.818	0.869	0.842				139	31	21
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.REG	0.584	0.619	0.601				52	37	32
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.727	0.762	0.744				16	6	5
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.818	0.911	0.862				234	52	23
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.FAC	0.471	0.571	0.516				8	9	6
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ORO	0.5	0.6	0.545				3	3	2
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.PHYS.ASTRO	0.0	0.0	0				0	3	10
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.PHYS.GEO	0.312	0.357	0.333				5	11	9
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.PHYS.HYDRO	0.694	0.862	0.769				25	11	4
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.UNK	0.0	0.0	0				0	1	1
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG.ADM	0.512	0.724	0.6				21	20	8
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG.ENT	0.52	0.47	0.494				39	36	44
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG.ENT.PRESSAGENCY	0.667	0.667	0.667				12	6	6
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.IND	0.84	0.971	0.901				300	57	9
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.IND.ARTICLEAUTHOR	0.0	0.0	0				0	1	2
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD.DOCTR	0.556	1.0	0.714				5	4	0
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD.MEDIA	0.649	0.649	0.649				37	20	20
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME.DATE.ABS	0.86	1.0	0.925				49	8	0
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.658	0.724	0.689				830	431	317
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.806	0.856	0.83				137	33	23
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.517	0.548	0.532				46	43	38
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.727	0.762	0.744				16	6	5
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.783	0.872	0.825				224	62	33
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.FAC	0.412	0.5	0.452				7	10	7
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ORO	0.333	0.4	0.364				2	4	3
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.ASTRO	0.0	0.0	0				0	3	10
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.GEO	0.125	0.143	0.133				2	14	12
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.HYDRO	0.694	0.862	0.769				25	11	4
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.UNK	0.0	0.0	0				0	1	1
