System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.782	0.873	0.825				1397	390	203
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.961	0.974	0.967				147	6	4
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.REG	0.719	0.748	0.733				110	43	37
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.85	0.895	0.872				17	3	2
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.823	0.899	0.86				401	86	45
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.FAC	0.476	0.556	0.513				10	11	8
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ORO	0.52	0.684	0.591				13	12	6
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.PHYS.GEO	0.312	0.357	0.333				10	22	18
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.PHYS.HYDRO	0.72	0.783	0.75				18	7	5
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.UNK	0.0	0.0	0				0	3	3
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG.ADM	0.488	0.488	0.488				21	22	22
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG.ENT	0.586	0.761	0.662				51	36	16
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG.ENT.PRESSAGENCY	0.95	0.95	0.95				19	1	1
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.COLL	0.222	0.4	0.286				2	7	3
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.IND	0.849	0.969	0.905				472	84	15
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.IND.ARTICLEAUTHOR	0.077	0.2	0.111				2	24	8
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD.DOCTR	0.6	1.0	0.75				3	2	0
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD.MEDIA	0.911	0.879	0.895				51	5	7
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME.DATE.ABS	0.758	0.943	0.84				50	16	3
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.697	0.779	0.736				1246	541	354
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.948	0.96	0.954				145	8	6
