System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.793	0.784	0.788				352	92	97
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.806	0.779	0.792				141	34	40
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.637	0.671	0.654				51	29	25
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.85	0.872	0.861				136	24	20
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD	0.643	0.474	0.545				9	5	10
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	1.0	0.882	0.938				15	0	2
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.624	0.617	0.62				277	167	172
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.714	0.691	0.702				125	50	56
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.4	0.421	0.41				32	48	44
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.631	0.647	0.639				101	59	55
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.429	0.316	0.364				6	8	13
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.867	0.765	0.812				13	2	4
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.776	0.761	0.777	0.121	0.178	0.185			
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.796	0.802	0.791	0.201	0.267	0.221			
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ORG	0.554	0.662	0.63	0.289	0.359	0.339			
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS	0.83	0.846	0.856	0.224	0.272	0.262			
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PROD	0.633	0.45	0.563	0.401	0.433	0.431			
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	TIME	1.0	0.867	1.0	0.0	0.0	0.34			
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.626	0.608	0.624	0.17	0.209	0.194			
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.698	0.702	0.692	0.247	0.298	0.264			
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ORG	0.299	0.366	0.348	0.314	0.315	0.343			
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS	0.58	0.587	0.596	0.357	0.374	0.362			
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PROD	0.467	0.308	0.398	0.39	0.452	0.371			
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	TIME	0.897	0.778	0.897	0.274	0.274	0.398			
