System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.88	0.929	0.904				1487	203	113
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.913	0.952	0.932				813	77	41
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.724	0.708	0.716				92	35	38
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.872	0.964	0.916				484	71	18
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD	0.911	0.836	0.872				51	5	10
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	0.758	0.887	0.817				47	15	6
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.786	0.831	0.808				1329	361	271
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.861	0.897	0.878				766	124	88
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.669	0.654	0.661				85	42	45
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.721	0.797	0.757				400	155	102
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.839	0.77	0.803				47	9	14
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.5	0.585	0.539				31	31	22
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.911	0.937	0.921	0.07	0.082	0.074			
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.913	0.956	0.93	0.09	0.113	0.081			
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ORG	0.64	0.653	0.667	0.353	0.373	0.395			
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS	0.883	0.963	0.93	0.109	0.195	0.092			
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PROD	0.79	0.863	0.94	0.138	0.384	0.275			
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	TIME	0.822	0.933	0.901	0.185	0.326	0.194			
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.816	0.837	0.825	0.145	0.153	0.14			
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.85	0.891	0.867	0.156	0.169	0.149			
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ORG	0.523	0.543	0.548	0.357	0.365	0.397			
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS	0.764	0.827	0.802	0.18	0.231	0.167			
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PROD	0.711	0.774	0.844	0.196	0.375	0.283			
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	TIME	0.583	0.638	0.631	0.438	0.461	0.45			
