System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.885	0.927	0.905				354	46	28
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	1.0	0.5	0.667				1	0	1
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	OBJECT.MANUSCR	0.667	1.0	0.8				2	1	0
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.83	0.917	0.871				44	9	4
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.333	0.25	0.286				1	2	3
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.895	0.895	0.895				68	8	8
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.91	0.972	0.94				171	17	5
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.882	0.905	0.893				67	9	7
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.86	0.901	0.88				344	56	38
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	1.0	0.5	0.667				1	0	1
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	OBJECT.MANUSCR	0.667	1.0	0.8				2	1	0
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.811	0.896	0.851				43	10	5
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.333	0.25	0.286				1	2	3
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.895	0.895	0.895				68	8	8
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.867	0.926	0.896				163	25	13
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.868	0.892	0.88				66	10	8
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.884	0.924	0.901	0.038	0.065	0.056			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	1.0	0.5	1.0	0.0	0.0	0.5			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	OBJECT.MANUSCR	0.75	1.0	0.833	0.167	0.25	0.0			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.828	0.864	0.841	0.279	0.293	0.274			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.333	0.333	0.333	0.471	0.471	0.471			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.892	0.848	0.891	0.111	0.153	0.266			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.924	0.976	0.948	0.039	0.06	0.043			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.899	0.917	0.932	0.109	0.149	0.245			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.86	0.898	0.876	0.041	0.073	0.049			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	1.0	0.5	1.0	0.0	0.0	0.5			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	OBJECT.MANUSCR	0.75	1.0	0.833	0.167	0.25	0.0			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.806	0.842	0.819	0.278	0.291	0.276			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.333	0.333	0.333	0.471	0.471	0.471			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.892	0.848	0.891	0.111	0.153	0.266			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	SCOPE	0.886	0.936	0.909	0.077	0.092	0.074			
team2_bundle3_ajmc_de_1	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.892	0.909	0.925	0.112	0.152	0.244			
team2_bundle3_ajmc_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
team2_bundle3_ajmc_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
team2_bundle3_ajmc_de_1	NE-NESTED-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL									
team2_bundle3_ajmc_de_1	NE-NESTED-macro_doc-strict-TIME-ALL-LED-ALL	ALL									
