System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.703	0.756	0.728				272	115	88
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	1	3
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.5	0.444	0.471				4	4	5
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.679	0.705	0.692				55	26	23
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.086	0.086	0.086				3	32	32
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.667	0.857	0.75				12	6	2
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.OTHER	0.643	0.75	0.692				9	5	3
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.846	0.938	0.89				121	22	8
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.FRAGM	0	0.0	0				0	0	1
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.791	0.872	0.829				68	18	10
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.SECLIT	0.0	0.0	0				0	1	1
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.646	0.694	0.669				250	137	110
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	1	3
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.5	0.444	0.471				4	4	5
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.654	0.679	0.667				53	28	25
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.057	0.057	0.057				2	33	33
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.611	0.786	0.688				11	7	3
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.OTHER	0.643	0.75	0.692				9	5	3
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.79	0.876	0.831				113	30	16
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.FRAGM	0	0.0	0				0	0	1
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.674	0.744	0.707				58	28	20
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.SECLIT	0.0	0.0	0				0	1	1
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.696	0.756	0.721	0.193	0.193	0.202			
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0.0	0.0	0.0	0.0			
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.667	0.7	0.733	0.389	0.471	0.4			
