System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.681	0.603	0.64				417	195	274
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	HUMANPROD	0.789	0.682	0.732				15	4	7
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.56	0.66	0.606				173	136	89
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.458	0.5	0.478				27	32	27
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.898	0.572	0.699				202	23	151
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.592	0.524	0.556				362	250	329
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.737	0.636	0.683				14	5	8
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.492	0.58	0.532				152	157	110
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.39	0.426	0.407				23	36	31
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.769	0.49	0.599				173	52	180
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.765	0.626	0.668	0.222	0.259	0.261			
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	HUMANPROD	0.685	0.771	0.863	0.17	0.404	0.343			
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.737	0.646	0.726	0.148	0.292	0.235			
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ORG	0.447	0.554	0.57	0.262	0.317	0.305			
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PER	0.906	0.71	0.77	0.194	0.181	0.292			
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.682	0.561	0.596	0.228	0.255	0.265			
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	HUMANPROD	0.574	0.646	0.72	0.335	0.438	0.412			
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.63	0.55	0.62	0.179	0.288	0.225			
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ORG	0.384	0.453	0.481	0.294	0.316	0.328			
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PER	0.863	0.678	0.733	0.21	0.205	0.301			
