System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.786	0.704	0.742				425	116	179
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	HUMANPROD	0.833	0.682	0.75				15	3	7
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.855	0.751	0.799				235	40	78
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.533	0.4	0.457				24	21	36
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.744	0.722	0.733				151	52	58
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.673	0.603	0.636				364	177	240
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.833	0.682	0.75				15	3	7
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.753	0.661	0.704				207	68	106
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.4	0.3	0.343				18	27	42
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.611	0.593	0.602				124	79	85
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.738	0.72	0.735	0.068	0.211	0.113			
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	HUMANPROD	0.818	0.725	0.758	0.321	0.321	0.406			
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.832	0.795	0.821	0.133	0.219	0.186			
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ORG	0.503	0.384	0.428	0.29	0.36	0.309			
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PER	0.704	0.809	0.755	0.171	0.327	0.191			
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.611	0.583	0.602	0.121	0.221	0.118			
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	HUMANPROD	0.818	0.725	0.758	0.321	0.321	0.406			
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.666	0.623	0.65	0.224	0.276	0.233			
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ORG	0.394	0.308	0.338	0.325	0.39	0.337			
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PER	0.511	0.535	0.526	0.29	0.369	0.28			
