System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team4_bundle4_sonar_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.641	0.696	0.667				323	181	141
team4_bundle4_sonar_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.732	0.835	0.78				142	52	28
team4_bundle4_sonar_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.453	0.434	0.443				43	52	56
team4_bundle4_sonar_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.642	0.708	0.673				138	77	57
team4_bundle4_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.47	0.511	0.49				237	267	227
team4_bundle4_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.665	0.759	0.709				129	65	41
team4_bundle4_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.274	0.263	0.268				26	69	73
team4_bundle4_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.381	0.421	0.4				82	133	113
team4_bundle4_sonar_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.663	0.672	0.654	0.136	0.164	0.157			
team4_bundle4_sonar_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.762	0.798	0.758	0.203	0.253	0.12			
team4_bundle4_sonar_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ORG	0.493	0.438	0.432	0.199	0.234	0.243			
team4_bundle4_sonar_de_1	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PER	0.69	0.698	0.684	0.286	0.285	0.306			
team4_bundle4_sonar_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.512	0.514	0.503	0.189	0.208	0.189			
team4_bundle4_sonar_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.701	0.732	0.695	0.186	0.245	0.095			
team4_bundle4_sonar_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ORG	0.297	0.217	0.23	0.222	0.299	0.207			
team4_bundle4_sonar_de_1	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PER	0.446	0.453	0.445	0.34	0.327	0.354			
