System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.807	0.851	0.829				1010	241	177
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	BUILDING	0.652	0.649	0.65				120	64	65
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.847	0.9	0.872				851	154	95
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	STREET	0.629	0.696	0.661				39	23	17
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.761	0.802	0.781				952	299	235
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	BUILDING	0.565	0.562	0.564				104	80	81
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.809	0.859	0.833				813	192	133
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	STREET	0.565	0.625	0.593				35	27	21
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.813	0.86	0.824	0.16	0.191	0.165			
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	BUILDING	0.569	0.65	0.643	0.372	0.42	0.408			
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	0.855	0.905	0.873	0.15	0.197	0.15			
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	STREET	0.684	0.699	0.706	0.368	0.394	0.4			
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.77	0.812	0.779	0.17	0.202	0.171			
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	BUILDING	0.473	0.522	0.527	0.386	0.418	0.409			
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	0.824	0.871	0.841	0.164	0.207	0.162			
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	STREET	0.629	0.596	0.637	0.414	0.429	0.428			
