System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team5_bundle5_newseye_fr_2	NEL-LIT-micro-fuzzy-relaxed-TIME-ALL-LED-ALL-@1	ALL	0.531	0.365	0.433				924	816	1606
team5_bundle5_newseye_fr_2	NEL-LIT-micro-strict-relaxed-TIME-ALL-LED-ALL-@1	ALL	0.53	0.365	0.432				923	817	1607
team5_bundle5_newseye_fr_2	NEL-LIT-macro_doc-fuzzy-relaxed-TIME-ALL-LED-ALL-@1	ALL	0.527	0.373	0.434	0.16	0.175	0.149			
team5_bundle5_newseye_fr_2	NEL-LIT-macro_doc-strict-relaxed-TIME-ALL-LED-ALL-@1	ALL	0.527	0.373	0.434	0.16	0.175	0.149			
team5_bundle5_newseye_fr_2	NEL-LIT-micro-fuzzy-relaxed-TIME-ALL-LED-ALL-@3	ALL	0.539	0.37	0.439				937	803	1593
team5_bundle5_newseye_fr_2	NEL-LIT-micro-strict-relaxed-TIME-ALL-LED-ALL-@3	ALL	0.538	0.37	0.438				936	804	1594
team5_bundle5_newseye_fr_2	NEL-LIT-macro_doc-fuzzy-relaxed-TIME-ALL-LED-ALL-@3	ALL	0.541	0.383	0.446	0.148	0.158	0.139			
team5_bundle5_newseye_fr_2	NEL-LIT-macro_doc-strict-relaxed-TIME-ALL-LED-ALL-@3	ALL	0.541	0.382	0.445	0.148	0.158	0.139			
team5_bundle5_newseye_fr_2	NEL-LIT-micro-fuzzy-relaxed-TIME-ALL-LED-ALL-@5	ALL	0.539	0.37	0.439				937	803	1593
team5_bundle5_newseye_fr_2	NEL-LIT-micro-strict-relaxed-TIME-ALL-LED-ALL-@5	ALL	0.538	0.37	0.438				936	804	1594
team5_bundle5_newseye_fr_2	NEL-LIT-macro_doc-fuzzy-relaxed-TIME-ALL-LED-ALL-@5	ALL	0.541	0.383	0.446	0.148	0.158	0.139			
team5_bundle5_newseye_fr_2	NEL-LIT-macro_doc-strict-relaxed-TIME-ALL-LED-ALL-@5	ALL	0.541	0.382	0.445	0.148	0.158	0.139			
