System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team5_bundle5_sonar_de_1	NEL-LIT-micro-fuzzy-relaxed-TIME-ALL-LED-ALL-@1	ALL	0.616	0.446	0.517				210	131	261
team5_bundle5_sonar_de_1	NEL-LIT-micro-strict-relaxed-TIME-ALL-LED-ALL-@1	ALL	0.616	0.446	0.517				210	131	261
team5_bundle5_sonar_de_1	NEL-LIT-macro_doc-fuzzy-relaxed-TIME-ALL-LED-ALL-@1	ALL	0.638	0.488	0.548	0.157	0.121	0.176			
team5_bundle5_sonar_de_1	NEL-LIT-macro_doc-strict-relaxed-TIME-ALL-LED-ALL-@1	ALL	0.638	0.488	0.548	0.157	0.121	0.176			
team5_bundle5_sonar_de_1	NEL-LIT-micro-fuzzy-relaxed-TIME-ALL-LED-ALL-@3	ALL	0.639	0.463	0.537				218	123	253
team5_bundle5_sonar_de_1	NEL-LIT-micro-strict-relaxed-TIME-ALL-LED-ALL-@3	ALL	0.639	0.463	0.537				218	123	253
team5_bundle5_sonar_de_1	NEL-LIT-macro_doc-fuzzy-relaxed-TIME-ALL-LED-ALL-@3	ALL	0.684	0.525	0.59	0.189	0.156	0.206			
team5_bundle5_sonar_de_1	NEL-LIT-macro_doc-strict-relaxed-TIME-ALL-LED-ALL-@3	ALL	0.684	0.525	0.59	0.189	0.156	0.206			
team5_bundle5_sonar_de_1	NEL-LIT-micro-fuzzy-relaxed-TIME-ALL-LED-ALL-@5	ALL	0.639	0.463	0.537				218	123	253
team5_bundle5_sonar_de_1	NEL-LIT-micro-strict-relaxed-TIME-ALL-LED-ALL-@5	ALL	0.639	0.463	0.537				218	123	253
team5_bundle5_sonar_de_1	NEL-LIT-macro_doc-fuzzy-relaxed-TIME-ALL-LED-ALL-@5	ALL	0.684	0.525	0.59	0.189	0.156	0.206			
team5_bundle5_sonar_de_1	NEL-LIT-macro_doc-strict-relaxed-TIME-ALL-LED-ALL-@5	ALL	0.684	0.525	0.59	0.189	0.156	0.206			
