CHALLENGE	RANK	POINTS	TEAM	DATASET	LANGUAGE	F1	System
MNC:NERC-COARSE	1	50	team2	hipe2020	de	0.876	team2_bundle3_hipe2020_de_1
MNC:NERC-COARSE	2	40	team4	hipe2020	de	0.822	team4_bundle4_hipe2020_de_1
MNC:NERC-COARSE	1	50	team2	hipe2020	en	0.788	team2_bundle1_hipe2020_en_1
MNC:NERC-COARSE	2	40	team4	hipe2020	en	0.692	team4_bundle4_hipe2020_en_1
MNC:NERC-COARSE	3	30	team3	hipe2020	en	0.603	team3_bundle4_hipe2020_en_1
MNC:NERC-COARSE	1	50	team2	hipe2020	fr	0.907	team2_bundle1_hipe2020_fr_2
MNC:NERC-COARSE	2	40	team3	hipe2020	fr	0.808	team3_bundle4_hipe2020_fr_1
MNC:NERC-COARSE	3	30	team4	hipe2020	fr	0.800	team4_bundle4_hipe2020_fr_2
MNC:NERC-COARSE	1	50	team4	letemps	fr	0.701	team4_bundle4_letemps_fr_1
MNC:NERC-COARSE	2	40	team3	letemps	fr	0.666	team3_bundle4_letemps_fr_1
MNC:NERC-COARSE	1	50	team4	newseye	de	0.495	team4_bundle4_newseye_de_2
MNC:NERC-COARSE	1	50	team4	newseye	fi	0.670	team4_bundle4_newseye_fi_1
MNC:NERC-COARSE	1	50	team4	newseye	fr	0.786	team4_bundle4_newseye_fr_2
MNC:NERC-COARSE	1	50	team4	newseye	sv	0.746	team4_bundle4_newseye_sv_1
MNC:NERC-COARSE	1	50	team4	sonar	de	0.695	team4_bundle4_sonar_de_2
MNC:NERC-COARSE	1	50	team4	topres19th	en	0.838	team4_bundle4_topres19th_en_1
MNC:NERC-COARSE	2	40	team3	topres19th	en	0.796	team3_bundle4_topres19th_en_1
