System	Evaluation	Label	P	R	F1	TP	FP	FN
team2_bundle3_ajmc_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.946	0.921	0.934	352	20	30
team1_bundle4_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.93	0.898	0.913	343	26	39
team1_bundle4_ajmc_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.905	0.919	0.912	351	37	31
team2_bundle3_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.913	0.903	0.908	345	33	37
neurbsl_bundle3_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.792	0.846	0.818	323	85	59
team2_bundle3_ajmc_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	1.0	1.0	1.0	2	0	0
team2_bundle3_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.5	0.5	0.5	1	1	1
team1_bundle4_ajmc_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.333	0.5	0.4	1	2	1
neurbsl_bundle3_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.0	0.0	0	0	1	2
team1_bundle4_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0	0.0	0	0	0	2
team1_bundle4_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	OBJECT	1.0	1.0	1.0	2	0	0
neurbsl_bundle3_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	OBJECT	0.0	0.0	0	0	2	2
team2_bundle3_ajmc_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.992	0.938	0.964	120	1	8
team1_bundle4_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.944	0.93	0.937	119	7	9
team2_bundle3_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.93	0.93	0.93	119	9	9
team1_bundle4_ajmc_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.91	0.945	0.927	121	12	7
neurbsl_bundle3_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.887	0.922	0.904	118	15	10
team2_bundle3_ajmc_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.905	0.92	0.913	162	17	14
team1_bundle4_ajmc_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.894	0.915	0.904	161	19	15
team1_bundle4_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.902	0.886	0.894	156	17	20
team2_bundle3_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.891	0.886	0.889	156	19	20
neurbsl_bundle3_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.802	0.852	0.826	150	37	26
team1_bundle4_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.971	0.892	0.93	66	2	8
team2_bundle3_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.944	0.905	0.924	67	4	7
team1_bundle4_ajmc_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.943	0.892	0.917	66	4	8
neurbsl_bundle3_ajmc_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.647	0.743	0.692	55	30	19
