System	Evaluation	Label	P	R	F1	TP	FP	FN
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.941	0.924	0.933	353	22	29
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.885	0.927	0.905	354	46	28
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.866	0.864	0.865	330	51	52
neurbsl_bundle3_ajmc_de_1	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0	0	0	0	0	0
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	1.0	1.0	1.0	2	0	0
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	1.0	0.5	0.667	1	0	1
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.0	0.0	0	0	1	2
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	OBJECT.MANUSCR	1.0	1.0	1.0	2	0	0
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	OBJECT.MANUSCR	0.667	1.0	0.8	2	1	0
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	OBJECT.MANUSCR	0.0	0.0	0	0	2	2
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.898	0.917	0.907	44	5	4
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.83	0.917	0.871	44	9	4
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.782	0.896	0.835	43	12	5
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.667	0.5	0.571	2	1	2
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.333	0.25	0.286	1	2	3
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0	0	3	4
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.972	0.921	0.946	70	2	6
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.958	0.895	0.925	68	3	8
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.895	0.895	0.895	68	8	8
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.933	0.949	0.941	167	12	9
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.91	0.972	0.94	171	17	5
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.913	0.898	0.905	158	15	18
team2_bundle3_ajmc_de_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.971	0.892	0.93	66	2	8
team2_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.882	0.905	0.893	67	9	7
neurbsl_bundle3_ajmc_de_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.803	0.824	0.813	61	15	13
