System	Evaluation	Label	P	R	F1	TP	FP	FN
team1_bundle4_ajmc_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.879	0.943	0.91	328	45	20
team1_bundle4_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.859	0.943	0.899	328	54	20
team2_bundle1_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.87	0.922	0.895	321	48	27
team2_bundle1_ajmc_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.874	0.894	0.884	311	45	37
neurbsl_bundle3_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.766	0.902	0.828	314	96	34
team1_bundle4_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	1.0	1.0	1.0	3	0	0
team2_bundle1_ajmc_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.25	0.333	0.286	1	3	2
neurbsl_bundle3_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0	0	3	3
team2_bundle1_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0	0	4	3
team1_bundle4_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	1.0	1.0	1.0	3	0	0
team2_bundle1_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	1.0	0.667	0.8	2	0	1
team1_bundle4_ajmc_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.5	0.667	0.571	2	2	1
neurbsl_bundle3_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.0	0.0	0	0	2	3
team1_bundle4_ajmc_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.913	0.979	0.945	94	9	2
team1_bundle4_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.903	0.969	0.935	93	10	3
team2_bundle1_ajmc_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.905	0.896	0.901	86	9	10
team2_bundle1_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.841	0.938	0.887	90	17	6
neurbsl_bundle3_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.719	0.958	0.821	92	36	4
team2_bundle1_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.933	0.921	0.927	139	10	12
team1_bundle4_ajmc_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.921	0.921	0.921	139	12	12
team2_bundle1_ajmc_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.944	0.894	0.918	135	8	16
team1_bundle4_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.895	0.907	0.901	137	16	14
neurbsl_bundle3_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.838	0.887	0.862	134	26	17
team2_bundle1_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK	0.841	0.947	0.891	90	17	5
team1_bundle4_ajmc_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK	0.804	0.947	0.87	90	22	5
team1_bundle4_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK	0.767	0.968	0.856	92	28	3
team2_bundle1_ajmc_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK	0.777	0.916	0.841	87	25	8
neurbsl_bundle3_ajmc_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK	0.752	0.926	0.83	88	29	7
