System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team1_bundle4_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	1.0	1.0	1.0				3	0	0
team1_bundle4_ajmc_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.903	0.969	0.935				93	10	3
team1_bundle4_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.883	0.948	0.915				91	12	5
team2_bundle1_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.822	0.926	0.871				88	19	7
team2_bundle1_ajmc_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.874	0.865	0.869				83	12	13
team2_bundle1_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.813	0.906	0.857				87	20	9
team2_bundle1_ajmc_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.881	0.834	0.857				126	17	25
team1_bundle4_ajmc_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.826	0.885	0.854				308	65	40
team1_bundle4_ajmc_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.854	0.854	0.854				129	22	22
team2_bundle1_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.859	0.848	0.853				128	21	23
team2_bundle1_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.827	0.876	0.851				305	64	43
team2_bundle1_ajmc_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.831	0.851	0.841				296	60	52
team2_bundle1_ajmc_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.759	0.895	0.821				85	27	10
team1_bundle4_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.783	0.859	0.819				299	83	49
team2_bundle1_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	1.0	0.667	0.8				2	0	1
team2_bundle1_ajmc_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	1.0	0.667	0.8				2	0	1
team1_bundle4_ajmc_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.732	0.863	0.792				82	30	13
team1_bundle4_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.708	0.895	0.791				85	35	10
team1_bundle4_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.784	0.795	0.789				120	33	31
neurbsl_bundle3_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.68	0.906	0.777				87	41	9
neurbsl_bundle3_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK	0.675	0.832	0.745				79	38	16
neurbsl_bundle3_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.68	0.802	0.736				279	131	69
neurbsl_bundle3_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.706	0.748	0.727				113	47	38
team1_bundle4_ajmc_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.667	0.667	0.667				2	1	1
team1_bundle4_ajmc_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.5	0.667	0.571				2	2	1
neurbsl_bundle3_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	3	3
neurbsl_bundle3_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.0	0.0	0				0	2	3
team1_bundle4_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	3	3
team2_bundle1_ajmc_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	4	3
team2_bundle1_ajmc_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	4	3
