System	Evaluation	Label	P	R	F1	TP	FP	FN
team1_bundle4_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.874	0.903	0.888	325	47	35
team1_bundle4_ajmc_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.872	0.889	0.88	320	47	40
team2_bundle3_ajmc_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.856	0.889	0.872	320	54	40
team2_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.841	0.881	0.86	317	60	43
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.788	0.867	0.825	312	84	48
team1_bundle4_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	1.0	0.333	0.5	1	0	2
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0	0	1	3
team1_bundle4_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.455	0.556	0.5	5	6	4
team1_bundle4_ajmc_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.571	0.444	0.5	4	3	5
team2_bundle3_ajmc_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.444	0.444	0.444	4	5	5
team2_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.25	0.222	0.235	2	6	7
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.0	0.0	0	0	8	9
team1_bundle4_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.913	0.906	0.91	126	12	13
team2_bundle3_ajmc_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.86	0.928	0.893	129	21	10
team2_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.864	0.914	0.888	127	20	12
team1_bundle4_ajmc_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.884	0.878	0.881	122	16	17
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.813	0.878	0.844	122	28	17
team1_bundle4_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.879	0.953	0.914	123	17	6
team2_bundle3_ajmc_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.883	0.938	0.91	121	16	8
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.876	0.93	0.902	120	17	9
team1_bundle4_ajmc_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.853	0.946	0.897	122	21	7
team2_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.862	0.922	0.891	119	19	10
team1_bundle4_ajmc_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK	0.91	0.887	0.899	71	7	9
team1_bundle4_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK	0.854	0.875	0.864	70	12	10
team2_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK	0.831	0.863	0.847	69	14	11
team2_bundle3_ajmc_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK	0.857	0.825	0.841	66	11	14
neurbsl_bundle3_ajmc_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK	0.7	0.875	0.778	70	30	10
