System	Evaluation	Label	P	R	F1	TP	FP	FN
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.646	0.694	0.669	250	137	110
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.623	0.669	0.645	241	146	119
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.526	0.567	0.545	204	184	156
neurbsl_bundle3_ajmc_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0	0	0	0	0	0
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0	0	1	3
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.571	0.444	0.5	4	3	5
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.5	0.444	0.471	4	4	5
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.0	0.0	0	0	6	9
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.654	0.679	0.667	53	28	25
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.59	0.628	0.609	49	34	29
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.494	0.551	0.521	43	44	35
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.057	0.057	0.057	2	33	33
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.0	0.0	0	0	34	35
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.688	0.786	0.733	11	5	3
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.611	0.786	0.688	11	7	3
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.3	0.214	0.25	3	7	11
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.OTHER	0.643	0.75	0.692	9	5	3
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.OTHER	0.615	0.667	0.64	8	5	4
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.OTHER	0.538	0.583	0.56	7	6	5
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.79	0.876	0.831	113	30	16
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.794	0.868	0.83	112	29	17
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.755	0.814	0.784	105	34	24
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.FRAGM	0	0.0	0	0	0	1
team2_bundle3_ajmc_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.674	0.744	0.707	58	28	20
team2_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.611	0.705	0.655	55	35	23
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.474	0.59	0.526	46	51	32
neurbsl_bundle3_ajmc_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.SECLIT	0.0	0.0	0	0	1	1
