System	Evaluation	Label	P	R	F1	TP	FP	FN
team2_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.865	0.888	0.876	1018	159	129
team2_bundle1_hipe2020_de_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.87	0.878	0.874	1007	151	140
team2_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.853	0.892	0.872	1023	177	124
team4_bundle4_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.812	0.833	0.822	956	222	191
team4_bundle4_hipe2020_de_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.783	0.826	0.804	947	263	200
neurbsl_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.75	0.842	0.793	966	322	181
team2_bundle1_hipe2020_de_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.916	0.929	0.922	553	51	42
team2_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.896	0.938	0.916	558	65	37
team2_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.907	0.923	0.915	549	56	46
team4_bundle4_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.866	0.881	0.873	524	81	71
team4_bundle4_hipe2020_de_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.826	0.869	0.847	517	109	78
neurbsl_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.809	0.874	0.84	520	123	75
team2_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.645	0.615	0.63	80	44	50
team2_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.641	0.577	0.607	75	42	55
team2_bundle1_hipe2020_de_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.618	0.585	0.601	76	47	54
team4_bundle4_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.56	0.646	0.6	84	66	46
team4_bundle4_hipe2020_de_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.485	0.623	0.545	81	86	49
neurbsl_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.407	0.592	0.483	77	112	53
team2_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.886	0.974	0.928	303	39	8
team2_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.873	0.971	0.919	302	44	9
team2_bundle1_hipe2020_de_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.886	0.952	0.918	296	38	15
neurbsl_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.836	0.936	0.883	291	57	20
team4_bundle4_hipe2020_de_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.865	0.884	0.874	275	43	36
team4_bundle4_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.844	0.884	0.863	275	51	36
team2_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD	0.722	0.629	0.672	39	15	23
team2_bundle1_hipe2020_de_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD	0.74	0.597	0.661	37	13	25
team2_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD	0.656	0.645	0.65	40	21	22
team4_bundle4_hipe2020_de_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD	0.607	0.548	0.576	34	22	28
team4_bundle4_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD	0.623	0.532	0.574	33	20	29
neurbsl_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD	0.579	0.532	0.555	33	24	29
team2_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	0.906	0.98	0.941	48	5	1
team2_bundle1_hipe2020_de_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	0.957	0.918	0.938	45	2	4
team2_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	0.904	0.959	0.931	47	5	2
neurbsl_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	0.882	0.918	0.9	45	6	4
team4_bundle4_hipe2020_de_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	0.93	0.816	0.87	40	3	9
team4_bundle4_hipe2020_de_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	0.909	0.816	0.86	40	4	9
