System	Evaluation	Label	P	R	F1	TP	FP	FN
team2_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.784	0.805	0.794	923	254	224
team2_bundle1_hipe2020_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.78	0.787	0.784	903	255	244
team2_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.757	0.792	0.774	908	292	239
team4_bundle4_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.716	0.735	0.725	843	335	304
neurbsl_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.665	0.746	0.703	856	432	291
team4_bundle4_hipe2020_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.677	0.714	0.695	819	391	328
team2_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.864	0.879	0.872	523	82	72
team2_bundle1_hipe2020_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.864	0.877	0.871	522	82	73
team2_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.851	0.891	0.87	530	93	65
team4_bundle4_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.813	0.827	0.82	492	113	103
neurbsl_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.765	0.827	0.795	492	151	103
team4_bundle4_hipe2020_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.775	0.815	0.794	485	141	110
team2_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.597	0.569	0.583	74	50	56
team2_bundle1_hipe2020_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.585	0.554	0.569	72	51	58
team2_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.59	0.531	0.559	69	48	61
team4_bundle4_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.473	0.546	0.507	71	79	59
neurbsl_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.37	0.538	0.439	70	119	60
team4_bundle4_hipe2020_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.365	0.469	0.411	61	106	69
team2_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.757	0.833	0.793	259	83	52
team2_bundle1_hipe2020_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.731	0.785	0.757	244	90	67
team2_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.697	0.775	0.734	241	105	70
neurbsl_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.664	0.743	0.701	231	117	80
team4_bundle4_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.681	0.714	0.697	222	104	89
team4_bundle4_hipe2020_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.673	0.688	0.68	214	104	97
team2_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.537	0.468	0.5	29	25	33
team4_bundle4_hipe2020_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.5	0.452	0.475	28	28	34
team2_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.475	0.468	0.472	29	32	33
team2_bundle1_hipe2020_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.52	0.419	0.464	26	24	36
neurbsl_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.474	0.435	0.454	27	30	35
team4_bundle4_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.491	0.419	0.452	26	27	36
team2_bundle1_hipe2020_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.83	0.796	0.812	39	8	10
team2_bundle1_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.736	0.796	0.765	39	14	10
team2_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.731	0.776	0.752	38	14	11
neurbsl_bundle3_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.706	0.735	0.72	36	15	13
team4_bundle4_hipe2020_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.727	0.653	0.688	32	12	17
team4_bundle4_hipe2020_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.721	0.633	0.674	31	12	18
