System	Evaluation	Label	P	R	F1	TP	FP	FN
team2_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.691	0.747	0.718	857	384	290
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.658	0.724	0.689	830	431	317
team2_bundle1_hipe2020_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.657	0.71	0.682	814	425	333
neurbsl_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.584	0.673	0.625	772	550	375
team2_bundle3_hipe2020_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0.714	0.411	0.522	30	12	43
team2_bundle1_hipe2020_de_2	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0.75	0.329	0.457	24	8	49
team2_bundle1_hipe2020_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0.618	0.288	0.393	21	13	52
neurbsl_bundle3_hipe2020_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0	0.0	0	0	0	73
team2_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.846	0.894	0.869	143	26	17
team2_bundle1_hipe2020_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.84	0.887	0.863	142	27	18
neurbsl_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.814	0.9	0.855	144	33	16
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.806	0.856	0.83	137	33	23
team2_bundle1_hipe2020_de_2	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	1.0	0.5	0.667	2	0	2
team2_bundle1_hipe2020_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.333	0.25	0.286	1	2	3
neurbsl_bundle3_hipe2020_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0	0.0	0	0	0	4
team2_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.539	0.571	0.555	48	41	36
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.517	0.548	0.532	46	43	38
team2_bundle1_hipe2020_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.506	0.488	0.497	41	40	43
neurbsl_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.312	0.345	0.328	29	64	55
neurbsl_bundle3_hipe2020_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0	0.0	0	0	0	4
team2_bundle1_hipe2020_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.0	0.0	0	0	2	4
team2_bundle1_hipe2020_de_2	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.0	0.0	0	0	1	4
team2_bundle3_hipe2020_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.0	0.0	0	0	3	4
team2_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.762	0.762	0.762	16	5	5
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.727	0.762	0.744	16	6	5
team2_bundle1_hipe2020_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.75	0.714	0.732	15	5	6
neurbsl_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.524	0.524	0.524	11	10	10
neurbsl_bundle3_hipe2020_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.SUP	0	0.0	0	0	0	1
team2_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.821	0.875	0.847	225	49	32
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.783	0.872	0.825	224	62	33
neurbsl_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.775	0.872	0.821	224	65	33
team2_bundle1_hipe2020_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.761	0.84	0.799	216	68	41
team2_bundle3_hipe2020_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.862	0.556	0.676	25	4	20
team2_bundle1_hipe2020_de_2	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.909	0.444	0.597	20	2	25
team2_bundle1_hipe2020_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.81	0.378	0.515	17	4	28
neurbsl_bundle3_hipe2020_de_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0	0.0	0	0	0	45
team2_bundle1_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.FAC	0.412	0.5	0.452	7	10	7
team2_bundle3_hipe2020_de_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.FAC	0.333	0.429	0.375	6	12	8
team2_bundle1_hipe2020_de_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.FAC	0.294	0.357	0.323	5	12	9
