System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle1_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	1.0	0.882	0.938				15	0	2
team2_bundle1_hipe2020_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	1.0	0.882	0.938				15	0	2
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	1.0	0.882	0.938				15	0	2
team2_bundle2_hipe2020_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	1.0	0.882	0.938				15	0	2
team2_bundle3_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	1.0	0.882	0.938				15	0	2
team4_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	TIME	0.938	0.882	0.909				15	1	2
team2_bundle1_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.85	0.872	0.861				136	24	20
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.85	0.872	0.861				136	24	20
team3_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.785	0.91	0.843				142	39	14
team2_bundle1_hipe2020_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.792	0.878	0.833				137	36	19
team2_bundle2_hipe2020_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.792	0.878	0.833				137	36	19
team2_bundle3_hipe2020_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.792	0.878	0.833				137	36	19
team2_bundle1_hipe2020_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.846	0.79	0.817				143	26	38
