System	Evaluation	Label	P	R	F1	TP	FP	FN
team2_bundle1_hipe2020_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.883	0.933	0.907	1493	198	107
team2_bundle1_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.88	0.929	0.904	1487	203	113
team2_bundle3_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.875	0.928	0.901	1485	212	115
neurbsl_bundle3_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.836	0.899	0.866	1438	282	162
team3_bundle4_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.767	0.853	0.808	1365	414	235
team4_bundle4_hipe2020_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.825	0.776	0.8	1242	263	358
team4_bundle4_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.824	0.773	0.798	1237	265	363
team2_bundle3_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.915	0.954	0.934	815	76	39
team2_bundle1_hipe2020_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.915	0.953	0.933	814	76	40
team2_bundle1_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.913	0.952	0.932	813	77	41
neurbsl_bundle3_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.874	0.93	0.901	794	114	60
team3_bundle4_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.818	0.896	0.855	765	170	89
team4_bundle4_hipe2020_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.883	0.76	0.817	649	86	205
