System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle1_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.864	0.895	0.879				764	120	90
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.864	0.895	0.879				764	120	90
team2_bundle3_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.862	0.892	0.877				762	122	92
team2_bundle1_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.859	0.888	0.873				758	124	96
team2_bundle2_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.859	0.888	0.873				758	124	96
neurbsl_bundle3_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.816	0.868	0.841				741	167	113
team2_bundle1_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.857	0.787	0.821				48	8	13
team2_bundle2_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.857	0.787	0.821				48	8	13
team2_bundle1_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.801	0.836	0.818				1337	332	263
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.801	0.836	0.818				1337	332	263
team2_bundle1_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.797	0.832	0.814				1331	340	269
team2_bundle2_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.797	0.832	0.814				1331	340	269
team2_bundle3_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.789	0.828	0.808				1324	354	276
team2_bundle1_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.839	0.77	0.803				47	9	14
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.839	0.77	0.803				47	9	14
team2_bundle1_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.759	0.817	0.787				410	130	92
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.759	0.817	0.787				410	130	92
team2_bundle3_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.797	0.77	0.783				47	12	14
team2_bundle1_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.746	0.813	0.778				408	139	94
team2_bundle2_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.746	0.813	0.778				408	139	94
team3_bundle4_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.743	0.814	0.777				695	240	159
team2_bundle3_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.737	0.803	0.768				403	144	99
team4_bundle4_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.823	0.708	0.761				605	130	249
neurbsl_bundle3_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.73	0.785	0.757				1256	464	344
team4_bundle4_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.805	0.698	0.748				596	144	258
neurbsl_bundle3_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.695	0.749	0.721				376	165	126
team4_bundle4_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.718	0.675	0.696				1080	425	520
team4_bundle4_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.682	0.699	0.69				351	164	151
team4_bundle4_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.7	0.657	0.678				1051	451	549
team3_bundle4_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.64	0.712	0.674				1139	640	461
team2_bundle1_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.669	0.654	0.661				85	42	45
team2_bundle2_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.669	0.654	0.661				85	42	45
team2_bundle1_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.672	0.646	0.659				84	41	46
team2_bundle2_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.672	0.646	0.659				84	41	46
team4_bundle4_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.615	0.677	0.645				340	213	162
team3_bundle4_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.585	0.687	0.632				345	245	157
team2_bundle3_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.637	0.608	0.622				79	45	51
team4_bundle4_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.522	0.679	0.59				36	33	17
team2_bundle1_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.541	0.623	0.579				33	28	20
team2_bundle2_hipe2020_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.541	0.623	0.579				33	28	20
team4_bundle4_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.523	0.642	0.576				34	31	19
team2_bundle3_hipe2020_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.516	0.623	0.564				33	31	20
