System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.961	0.974	0.967				147	6	4
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.942	0.967	0.954				146	9	5
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG.ENT.PRESSAGENCY	0.95	0.95	0.95				19	1	1
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.925	0.974	0.948				147	12	4
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.941	0.954	0.947				144	9	7
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.IND	0.887	0.938	0.912				457	58	30
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.IND	0.854	0.963	0.905				469	80	18
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.IND	0.849	0.969	0.905				472	84	15
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD.MEDIA	0.911	0.879	0.895				51	5	7
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PROD.MEDIA	0.895	0.879	0.887				51	6	7
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.IND	0.821	0.961	0.886				468	102	19
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.85	0.895	0.872				17	3	2
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.85	0.895	0.872				17	3	2
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.823	0.899	0.86				401	86	45
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.831	0.89	0.859				397	81	49
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG.ENT.PRESSAGENCY	0.818	0.9	0.857				18	4	2
