System	Evaluation	Label	P	R	F1	TP	FP	FN
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.702	0.782	0.74	1251	531	349
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.697	0.779	0.736	1246	541	354
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.679	0.767	0.72	1227	581	373
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.685	0.733	0.708	1172	538	428
team2_bundle1_hipe2020_fr_2	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0.39	0.366	0.377	30	47	52
team2_bundle1_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0.394	0.341	0.366	28	43	54
team2_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0.301	0.341	0.32	28	65	54
neurbsl_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	ALL	0	0.0	0	0	0	82
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADD.PHYS	0.0	0	0	0	1	0
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.948	0.96	0.954	145	8	6
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.935	0.96	0.948	145	10	6
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.935	0.947	0.941	143	10	8
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.912	0.96	0.935	145	14	6
team2_bundle1_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.667	0.5	0.571	4	2	4
team2_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.571	0.5	0.533	4	3	4
team2_bundle1_hipe2020_fr_2	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0.444	0.5	0.471	4	5	4
neurbsl_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.NAT	0	0.0	0	0	0	8
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.686	0.714	0.7	105	48	42
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.689	0.707	0.698	104	47	43
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.647	0.673	0.66	99	54	48
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.49	0.503	0.497	74	77	73
neurbsl_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0	0.0	0	0	0	9
team2_bundle1_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.0	0.0	0	0	4	9
team2_bundle1_hipe2020_fr_2	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.REG	0.0	0.0	0	0	3	9
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.85	0.895	0.872	17	3	2
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.727	0.842	0.78	16	6	3
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.SUP	0.5	0.526	0.513	10	10	9
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.785	0.841	0.812	375	103	71
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.77	0.841	0.804	375	112	71
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.768	0.841	0.803	375	113	71
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.762	0.841	0.8	375	117	71
team2_bundle1_hipe2020_fr_2	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.396	0.525	0.452	21	32	19
team2_bundle1_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.373	0.475	0.418	19	32	21
team2_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0.284	0.475	0.355	19	48	21
neurbsl_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.ADM.TOWN	0	0.0	0	0	0	40
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.FAC	0.429	0.5	0.462	9	12	9
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.FAC	0.391	0.5	0.439	9	14	9
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.FAC	0.304	0.389	0.341	7	16	11
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.FAC	0.28	0.389	0.326	7	18	11
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ORO	0.636	0.737	0.683	14	8	5
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ORO	0.522	0.632	0.571	12	11	7
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.ORO	0.48	0.632	0.545	12	13	7
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.GEO	0.429	0.429	0.429	12	16	16
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.GEO	0.294	0.357	0.323	10	24	18
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.GEO	0.265	0.321	0.29	9	25	19
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.GEO	0.25	0.286	0.267	8	24	20
neurbsl_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.GEO	0	0.0	0	0	0	1
team2_bundle1_hipe2020_fr_2	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.HYDRO	1.0	0.75	0.857	3	0	1
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.HYDRO	0.704	0.826	0.76	19	8	4
team2_bundle1_hipe2020_fr_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.HYDRO	0.72	0.783	0.75	18	7	5
team2_bundle1_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.HYDRO	0.75	0.75	0.75	3	1	1
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.HYDRO	0.44	0.478	0.458	11	14	12
neurbsl_bundle3_hipe2020_fr_1	NE-NESTED-micro-strict-TIME-ALL-LED-ALL	LOC.PHYS.HYDRO	0	0.0	0	0	0	4
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC.UNK	0.0	0.0	0	0	3	3
neurbsl_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG.ADM	0.465	0.465	0.465	20	23	23
team2_bundle1_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG.ADM	0.438	0.488	0.462	21	27	22
team2_bundle3_hipe2020_fr_1	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG.ADM	0.444	0.465	0.455	20	25	23
