System	Evaluation	Label	P	R	F1	TP	FP	FN
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.639	0.8	0.711	814	459	203
team4_bundle4_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.642	0.773	0.701	786	439	231
team4_bundle4_letemps_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.61	0.771	0.681	784	502	233
team3_bundle4_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.627	0.711	0.666	723	430	294
team4_bundle4_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.7	0.827	0.758	489	210	102
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.674	0.832	0.745	492	238	99
team4_bundle4_letemps_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.673	0.807	0.734	477	232	114
team3_bundle4_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.662	0.78	0.716	461	235	130
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.333	0.38	0.355	30	60	49
team4_bundle4_letemps_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.183	0.241	0.208	19	85	60
team4_bundle4_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.179	0.177	0.178	14	64	65
team3_bundle4_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.0	0.0	0	0	16	79
neurbsl_bundle3_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.645	0.841	0.73	292	161	55
team4_bundle4_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.632	0.816	0.712	283	165	64
team4_bundle4_letemps_fr_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.609	0.83	0.702	288	185	59
team3_bundle4_letemps_fr_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS	0.594	0.755	0.665	262	179	85
