System	Evaluation	Label	P	R	F1	TP	FP	FN
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.715	0.812	0.76	561	224	130
team4_bundle4_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.73	0.619	0.67	428	158	263
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.681	0.603	0.64	417	195	274
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	HUMANPROD	0.789	0.682	0.732	15	4	7
team4_bundle4_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	HUMANPROD	0.765	0.591	0.667	13	4	9
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	HUMANPROD	0.429	0.409	0.419	9	12	13
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.66	0.836	0.737	219	113	43
team4_bundle4_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.64	0.698	0.668	183	103	79
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.56	0.66	0.606	173	136	89
team4_bundle4_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.491	0.5	0.495	27	28	27
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.458	0.5	0.478	27	32	27
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ORG	0.324	0.444	0.375	24	50	30
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.863	0.875	0.869	309	49	44
team4_bundle4_newseye_fi_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.899	0.581	0.706	205	23	148
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PER	0.898	0.572	0.699	202	23	151
