System	Evaluation	Label	P	R	F1	TP	FP	FN
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.605	0.687	0.644	475	310	216
team4_bundle4_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.618	0.524	0.567	362	224	329
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.592	0.524	0.556	362	250	329
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.737	0.636	0.683	14	5	8
team4_bundle4_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.706	0.545	0.615	12	5	10
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.333	0.318	0.326	7	14	15
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.551	0.698	0.616	183	149	79
team4_bundle4_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.545	0.595	0.569	156	130	106
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.492	0.58	0.532	152	157	110
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.39	0.426	0.407	23	36	31
team4_bundle4_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.382	0.389	0.385	21	34	33
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.176	0.241	0.203	13	61	41
neurbsl_bundle3_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.76	0.771	0.765	272	86	81
team4_bundle4_newseye_fi_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.769	0.49	0.599	173	52	180
team4_bundle4_newseye_fi_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.759	0.49	0.596	173	55	180
