System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
neurbsl_bundle3_newseye_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.775	0.754	0.764				773	225	252
team4_bundle4_newseye_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.765	0.665	0.712				682	210	343
team4_bundle4_newseye_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.742	0.679	0.709				696	242	329
team4_bundle4_newseye_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.682	0.697	0.69				775	361	337
team4_bundle4_newseye_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.664	0.649	0.656				722	366	390
team4_bundle4_newseye_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.655	0.657	0.656				1661	876	869
neurbsl_bundle3_newseye_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.634	0.676	0.654				1710	989	820
team4_bundle4_newseye_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.673	0.625	0.648				1582	768	948
neurbsl_bundle3_newseye_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.575	0.697	0.63				23	17	10
neurbsl_bundle3_newseye_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.6	0.643	0.621				715	477	397
team4_bundle4_newseye_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.667	0.545	0.6				18	9	15
neurbsl_bundle3_newseye_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.424	0.553	0.48				199	270	161
team4_bundle4_newseye_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.419	0.545	0.474				18	25	15
team4_bundle4_newseye_fr_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.466	0.444	0.455				160	183	200
team4_bundle4_newseye_fr_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.41	0.478	0.441				172	248	188
