System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.698	0.827	0.757				259	112	54
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.833	0.682	0.75				15	3	7
team4_bundle4_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.766	0.671	0.716				210	64	103
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.753	0.661	0.704				207	68	106
team4_bundle4_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.778	0.636	0.7				14	4	8
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.588	0.728	0.651				440	308	164
team4_bundle4_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.686	0.604	0.643				365	167	239
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.673	0.603	0.636				364	177	240
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.567	0.713	0.631				149	114	60
team4_bundle4_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.643	0.603	0.622				126	70	83
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.611	0.593	0.602				124	79	85
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	HUMANPROD	0.393	0.5	0.44				11	17	11
team4_bundle4_newseye_sv_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.4	0.3	0.343				18	27	42
neurbsl_bundle3_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.244	0.35	0.288				21	65	39
team4_bundle4_newseye_sv_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.341	0.25	0.288				15	29	45
