System	Evaluation	Label	P	R	F1	TP	FP	FN
team4_bundle4_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.47	0.511	0.49	237	267	227
team4_bundle4_sonar_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.447	0.513	0.477	238	295	226
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.272	0.373	0.314	173	464	291
team4_bundle4_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.665	0.759	0.709	129	65	41
team4_bundle4_sonar_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.632	0.747	0.685	127	74	43
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.519	0.735	0.608	125	116	45
team4_bundle4_sonar_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.283	0.303	0.293	30	76	69
team4_bundle4_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.274	0.263	0.268	26	69	73
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.051	0.071	0.059	7	130	92
team4_bundle4_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.381	0.421	0.4	82	133	113
team4_bundle4_sonar_de_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.358	0.415	0.385	81	145	114
neurbsl_bundle3_sonar_de_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PER	0.158	0.21	0.181	41	218	154
