System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team4_bundle4_topres19th_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.901	0.86	0.88				814	89	132
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.847	0.9	0.872				851	154	95
neurbsl_bundle3_topres19th_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.842	0.892	0.867				844	158	102
team3_bundle4_topres19th_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	0.819	0.892	0.854				844	187	102
team4_bundle4_topres19th_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.869	0.81	0.838				961	145	226
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.807	0.851	0.829				1010	241	177
neurbsl_bundle3_topres19th_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.798	0.836	0.816				992	251	195
team3_bundle4_topres19th_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.765	0.829	0.796				984	302	203
team4_bundle4_topres19th_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	STREET	0.685	0.661	0.673				37	17	19
neurbsl_bundle3_topres19th_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	STREET	0.661	0.661	0.661				37	19	19
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	STREET	0.629	0.696	0.661				39	23	17
team4_bundle4_topres19th_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	BUILDING	0.738	0.595	0.659				110	39	75
team4_bundle4_topres19th_en_2	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	BUILDING	0.652	0.649	0.65				120	64	65
neurbsl_bundle3_topres19th_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	BUILDING	0.6	0.6	0.6				111	74	74
team3_bundle4_topres19th_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	BUILDING	0.552	0.605	0.577				112	91	73
team3_bundle4_topres19th_en_1	NE-COARSE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	STREET	0.538	0.5	0.519				28	24	28
