TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = NZZ-1798-01-20-a-p0002
# hipe2022:date = 1798-01-20
# hipe2022:language = de
# hipe2022:document_type = newspaper
# hipe2022:dataset = hipe2020
# hipe2022:original_source = v1.4.1/de/HIPE-data-v1.4.1-test-de.tsv
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-COARSE-METO NE-FINE-LIT NE-FINE-METO NE-FINE-COMP NE-NESTED NEL-LIT NEL-METO MISC
# hipe2020:doi = https://zenodo.org/record/6046853
# hipe2020:version = v1.4.1
# hipe2020:original_license = CC-BY-NC-SA 4.0
# hipe2020:publication_title = NZZ
Neuigkeiten	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	EndOfSentence
(	O	_	O	_	_	_	_	_	NoSpaceAfter
Mißhandlung	O	_	O	_	_	_	_	_	_
der	O	_	O	_	_	_	_	_	EndOfLine
Franken	O	_	O	_	_	_	_	_	_
in	O	_	O	_	_	_	_	_	_
Rom	B-loc	_	B-loc.adm.town	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence
]	O	_	O	_	_	_	_	_	_
Buonaparte	B-pers	_	B-pers.ind	_	_	_	_	_	NoSpaceAfter
'	I-pers	_	I-pers.ind	_	_	_	_	_	NoSpaceAfter
s	I-pers	_	I-pers.ind	_	_	_	_	_	_
Bruder	O	_	O	_	_	_	_	_	_
hat	O	_	O	_	_	_	_	_	EndOfLine
die	O	_	O	_	_	_	_	_	_
neulich	O	_	O	_	_	_	_	_	_
schon	O	_	O	_	_	_	_	_	_
erzählten	O	_	O	_	_	_	_	_	_
Vorfälle	O	_	O	_	_	_	_	_	_
in	O	_	O	_	_	_	_	_	_
Rom	B-loc	_	B-loc.adm.town	_	_	_	_	_	_
ans	O	_	O	_	_	_	_	_	EndOfLine
Directorium	O	_	O	_	_	_	_	_	_
berichtet	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
und	O	_	O	_	_	_	_	_	_
die	O	_	O	_	_	_	_	_	_
verdächtige	O	_	O	_	_	_	_	_	_
Weise	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	EndOfLine
mit	O	_	O	_	_	_	_	_	_
der	O	_	O	_	_	_	_	_	_
die	O	_	O	_	_	_	_	_	_
römische	O	_	O	_	_	_	_	_	_
Regierung	O	_	O	_	_	_	_	_	_
sich	O	_	O	_	_	_	_	_	_
dabey	O	_	O	_	_	_	_	_	_
betrug	O	_	O	_	_	_	_	_	_
in	O	_	O	_	_	_	_	_	EndOfLine
ein	O	_	O	_	_	_	_	_	_
sehr	O	_	O	_	_	_	_	_	_
klares	O	_	O	_	_	_	_	_	_
Licht	O	_	O	_	_	_	_	_	_
gesezt	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	EndOfSentence
Er	O	_	O	_	_	_	_	_	_
hatte	O	_	O	_	_	_	_	_	_
schon	O	_	O	_	_	_	_	_	_
den	O	_	O	_	_	_	_	_	_
25	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	EndOfLine
Dec	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	EndOfSentence
einige	O	_	O	_	_	_	_	_	_
der	O	_	O	_	_	_	_	_	_
Aufrührer	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
die	O	_	O	_	_	_	_	_	_
im	O	_	O	_	_	_	_	_	_
Vertrauen	O	_	O	_	_	_	_	_	_
Frank	B-loc	_	B-loc.adm.nat	_	_	_	_	_	EndOfLine
reichs	I-loc	_	I-loc.adm.nat	_	_	_	_	_	_
Schutz	O	_	O	_	_	_	_	_	_
und	O	_	O	_	_	_	_	_	_
Beystand	O	_	O	_	_	_	_	_	_
erflehten	O	_	O	_	_	_	_	_	_
sehr	O	_	O	_	_	_	_	_	_
dringend	O	_	O	_	_	_	_	_	EndOfLine
„	O	_	O	_	_	_	_	_	NoSpaceAfter
und	O	_	O	_	_	_	_	_	_
derb	O	_	O	_	_	_	_	_	_
abgewiesen	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
und	O	_	O	_	_	_	_	_	_
vom	O	_	O	_	_	_	_	_	_
ganzen	O	_	O	_	_	_	_	_	_
Vorhaben	O	_	O	_	_	_	_	_	EndOfLine
dem	O	_	O	_	_	_	_	_	_
Kardinal	O	_	O	_	_	_	_	_	_
Staatssekretär	O	_	O	_	_	_	_	_	_
Nachricht	O	_	O	_	_	_	_	_	_
gegeben	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	EndOfLine
damit	O	_	O	_	_	_	_	_	_
er	O	_	O	_	_	_	_	_	_
Sicherheitsanstalten	O	_	O	_	_	_	_	_	_
träfe	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	EndOfSentence
Derselbe	O	_	O	_	_	_	_	_	_
ver	O	_	O	_	_	_	_	_	NoSpaceAfter
¬	O	_	O	_	_	_	_	_	EndOfLine
sprach	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
Abends	O	_	O	_	_	_	_	_	_
um	O	_	O	_	_	_	_	_	_
6	O	_	O	_	_	_	_	_	_
Uhr	O	_	O	_	_	_	_	_	_
den	O	_	O	_	_	_	_	_	_
franz	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	EndOfSentence
Gesandten	O	_	O	_	_	_	_	_	_
in	O	_	O	_	_	_	_	_	EndOfLine
