TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = sn83030483-1790-01-02-a-i0004
# hipe2022:date = 1790-01-02
# hipe2022:language = en
# hipe2022:document_type = newspaper
# hipe2022:dataset = hipe2020
# hipe2022:original_source = v1.4.1/en/HIPE-data-v1.4.1-test-en.tsv
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-COARSE-METO NEL-LIT MISC
# hipe2020:doi = https://zenodo.org/record/6046853
# hipe2020:version = v1.4.1
# hipe2020:original_license = CC-BY-NC-SA 4.0
# hipe2020:publication_title = sn83030483
FROM	O	_	_	_	_	_	_	_	_
A	O	_	_	_	_	_	_	_	_
VIRGINIA	B-pers	_	_	_	_	_	_	_	_
PAPER	I-pers	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine|EndOfSentence
To	O	_	_	_	_	_	_	_	_
his	O	_	_	_	_	_	_	_	_
EXCELLENCY	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
GOVERNOR	B-pers	_	_	_	_	_	_	_	EndOfLine
GINIA	I-pers	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine|EndOfSentence
NEW	B-loc	_	_	_	_	_	_	_	NoSpaceAfter
-	I-loc	_	_	_	_	_	_	_	NoSpaceAfter
YORK	I-loc	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
SEPT	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
28	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
1780	B-loc	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfLine|EndOfSentence
SIR	B-pers	_	_	_	_	_	_	_	NoSpaceAfter
,	I-pers	_	_	_	_	_	_	_	EndOfLine
W	I-pers	_	_	_	_	_	_	_	_
E	I-pers	_	_	_	_	_	_	_	_
have	O	_	_	_	_	_	_	_	_
long	O	_	_	_	_	_	_	_	_
waited	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
anxious	O	_	_	_	_	_	_	_	_
expectations	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	EndOfLine
of	O	_	_	_	_	_	_	_	_
having	O	_	_	_	_	_	_	_	_
it	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
our	O	_	_	_	_	_	_	_	_
power	O	_	_	_	_	_	_	_	_
to	O	_	_	_	_	_	_	_	_
tranlinit	O	_	_	_	_	_	_	_	_
effec	O	_	_	_	_	_	_	_	NoSpaceAfter
¬	O	_	_	_	_	_	_	_	EndOfLine
tual	O	_	_	_	_	_	_	_	_
Amendments	O	_	_	_	_	_	_	_	_
to	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
Conftitution	O	_	_	_	_	_	_	_	_
of	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
Uni	O	_	_	_	_	_	_	_	NoSpaceAfter
¬	O	_	_	_	_	_	_	_	EndOfLine
ted	O	_	_	_	_	_	_	_	_
Stares	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_	_
it	O	_	_	_	_	_	_	_	_
is	O	_	_	_	_	_	_	_	_
with	O	_	_	_	_	_	_	_	_
grief	O	_	_	_	_	_	_	_	_
that	O	_	_	_	_	_	_	_	_
we	O	_	_	_	_	_	_	_	_
now	O	_	_	_	_	_	_	_	_
fend	O	_	_	_	_	_	_	_	EndOfLine
forward	O	_	_	_	_	_	_	_	_
propolitions	O	_	_	_	_	_	_	_	_
inadequate	O	_	_	_	_	_	_	_	_
to	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
purpofe	O	_	_	_	_	_	_	_	EndOfLine
of	O	_	_	_	_	_	_	_	_
real	O	_	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_	_
fubftantial	O	_	_	_	_	_	_	_	_
Amendments	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_	_
fo	O	_	_	_	_	_	_	_	_
far	O	_	_	_	_	_	_	_	EndOfLine
fhort	O	_	_	_	_	_	_	_	_
of	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
wiihes	O	_	_	_	_	_	_	_	_
of	O	_	_	_	_	_	_	_	_
our	O	_	_	_	_	_	_	_	_
