TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = EXP-1798-01-04-a-i0005
# hipe2022:date = 1798-01-04
# hipe2022:language = fr
# hipe2022:document_type = newspaper
# hipe2022:dataset = hipe2020
# hipe2022:original_source = v1.4.1/fr/HIPE-data-v1.4.1-test-fr.tsv
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-COARSE-METO NE-FINE-LIT NE-FINE-METO NE-FINE-COMP NE-NESTED NEL-LIT NEL-METO MISC
# hipe2020:doi = https://zenodo.org/record/6046853
# hipe2020:version = v1.4.1
# hipe2020:original_license = CC-BY-NC-SA 4.0
# hipe2020:publication_title = EXP
G	O	_	O	_	_	_	_	_	_
R	O	_	O	_	_	_	_	_	_
E	O	_	O	_	_	_	_	_	_
E	O	_	O	_	_	_	_	_	_
F	O	_	O	_	_	_	_	_	_
E	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	EndOfLine
1	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	EndOfSentence
Le	O	_	O	_	_	_	_	_	_
public	O	_	O	_	_	_	_	_	_
est	O	_	O	_	_	_	_	_	_
averti	O	_	O	_	_	_	_	_	_
que	O	_	O	_	_	_	_	_	_
Charlotte	B-pers	_	B-pers.ind	_	_	_	_	_	_
née	I-pers	_	I-pers.ind	_	_	_	_	_	_
Bourgoin	I-pers	_	I-pers.ind	_	_	_	_	_	NoSpaceAfter
,	I-pers	_	O	_	_	_	_	_	EndOfLine
femme	I-pers	_	O	_	_	_	_	_	NoSpaceAfter
-	O	_	O	_	_	_	_	_	NoSpaceAfter
de	O	_	O	_	_	_	_	_	_
Joseph	B-pers	_	B-pers.ind	_	_	_	_	_	_
Digiez	I-pers	_	I-pers.ind	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
et	O	_	O	_	_	_	_	_	_
Maurice	B-pers	_	B-pers.ind	_	_	_	_	_	_
Bourgoin	I-pers	_	I-pers.ind	_	_	_	_	_	NoSpaceAfter
,	I-pers	_	I-pers.ind	_	_	_	_	_	_
enfant	I-pers	_	O	_	_	_	_	_	_
mineur	I-pers	_	O	_	_	_	_	_	EndOfLine
représenté	O	_	O	_	_	_	_	_	_
par	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
sieur	B-pers	_	B-pers.ind	_	_	_	_	_	_
Jaques	I-pers	_	I-pers.ind	_	_	_	_	_	_
Charles	I-pers	_	I-pers.ind	_	_	_	_	_	_
Gicot	I-pers	_	I-pers.ind	_	_	_	_	_	_
son	O	_	O	_	_	_	_	_	_
curateur	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	EndOfLine
ont	O	_	O	_	_	_	_	_	_
été	O	_	O	_	_	_	_	_	_
admis	O	_	O	_	_	_	_	_	_
par	O	_	O	_	_	_	_	_	_
arrêt	O	_	O	_	_	_	_	_	_
du	O	_	O	_	_	_	_	_	_
Conseil	B-org	_	B-org.adm	_	_	_	_	_	_
d	I-org	_	O	_	_	_	_	_	NoSpaceAfter
'	I-org	_	O	_	_	_	_	_	NoSpaceAfter
Etat	I-org	_	O	_	_	_	_	_	_
du	B-time	_	B-time.date.abs	_	_	_	_	_	_
5	I-time	_	I-time.date.abs	_	_	_	_	_	_
décembre	I-time	_	I-time.date.abs	_	_	_	_	_	EndOfLine
1797	I-time	_	I-time.date.abs	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
à	O	_	O	_	_	_	_	_	_
solliciter	O	_	O	_	_	_	_	_	_
une	O	_	O	_	_	_	_	_	_
renonciation	O	_	O	_	_	_	_	_	_
générale	O	_	O	_	_	_	_	_	_
et	O	_	O	_	_	_	_	_	_
absolue	O	_	O	_	_	_	_	_	EndOfLine
