TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = GDL-1804-05-01-5
# hipe2022:date = 1804-05-01
# hipe2022:document_type = newspaper
# hipe2022:language = fr
# hipe2022:dataset = letemps
# hipe2022:split = test
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED MISC
# letemps:publication_title = GDL
# letemps:version = v1.0
# letemps:doi = https://doi.org/10.5281/zenodo.5996744
# letemps:original_license = CC-BY-NC-SA 4.0
F	O	_	I-loc.adm.nat	_	_	_	_	_	_
R	I-org	_	I-loc.adm.nat	_	_	_	_	_	_
A	I-org	_	I-loc.adm.nat	_	_	_	_	_	_
N	I-loc	_	I-loc.adm.nat	_	_	_	_	_	_
C	I-org	_	I-loc.adm.nat	_	_	_	_	_	_
E	I-org	_	I-loc.adm.nat	_	_	_	_	_	_
STRASBOURG	B-loc	_	B-loc.adm.town	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
T	O	_	O	_	_	_	_	_	_
<	O	_	O	_	_	_	_	_	NoSpaceAfter
)	O	_	O	_	_	_	_	_	_
Avril	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	EndOfSentence|NoSpaceAfter
Les	O	_	O	_	_	_	_	_	_
brigands	O	_	O	_	_	_	_	_	_
qui	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
ont	O	_	O	_	_	_	_	_	_
pillé	O	_	O	_	_	_	_	_	_
là	O	_	O	_	_	_	_	_	_
diligence	O	_	O	_	_	_	_	_	_
d	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
ici	O	_	O	_	_	_	_	_	_
à	O	_	O	_	_	_	_	_	_
Lyon	B-loc	_	B-loc.adm.town	_	_	_	_	_	_
(	O	_	O	_	_	_	_	_	NoSpaceAfter
v	O	_	O	_	_	_	_	_	_
;	O	_	O	_	_	_	_	_	_
N	O	_	O	_	_	_	_	_	_
°	O	_	O	_	_	_	_	_	_
J	O	_	O	_	_	_	_	_	NoSpaceAfter
)	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
ont	O	_	O	_	_	_	_	_	_
été	O	_	O	_	_	_	_	_	_
découverts	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
&	O	_	O	_	_	_	_	_	_
fe	O	_	O	_	_	_	_	_	_
trouvent	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	_
acTuellement	O	_	O	_	_	_	_	_	_
dans	O	_	O	_	_	_	_	_	_
lès	O	_	O	_	_	_	_	_	_
prifons	O	_	O	_	_	_	_	_	_
deColmar	B-loc	_	B-loc.adm.town	_	_	_	_	_	Partial-2:8
:	O	_	O	_	_	_	_	_	_
>	O	_	O	_	_	_	_	_	_
Voici	O	_	O	_	_	_	_	_	_
ce	O	_	O	_	_	_	_	_	_
qu	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
on	O	_	O	_	_	_	_	_	_
mande	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
Metz	B-loc	_	B-loc.adm.town	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
fous	O	_	O	_	_	_	_	_	_
la	O	_	O	_	_	_	_	_	_
date	O	_	O	_	_	_	_	_	_
du	O	_	O	_	_	_	_	_	_
18	O	_	O	_	_	_	_	_	_
:	O	_	O	_	_	_	_	_	_
"	O	_	O	_	_	_	_	_	NoSpaceAfter
L	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
adrelTepréfentée	O	_	O	_	_	_	_	_	_
,	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	_
lè	O	_	O	_	_	_	_	_	_
23	O	_	O	_	_	_	_	_	_
Mars	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
au	O	_	O	_	_	_	_	_	_
premier	O	_	O	_	_	_	_	_	_
conful	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
par	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
fénat	O	_	O	_	_	_	_	_	_
confervateur	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
adû	O	_	O	_	_	_	_	_	_
fixer	O	_	O	_	_	_	_	_	_
d	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
autint	O	_	O	_	_	_	_	_	_
plus	O	_	O	_	_	_	_	_	_
l	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
attention	O	_	O	_	_	_	_	_	_
publique	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
que	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
gouvernement	O	_	O	_	_	_	_	_	_
a	O	_	O	_	_	_	_	_	NoSpaceAfter
-	O	_	O	_	_	_	_	_	NoSpaceAfter
gardé	O	_	O	_	_	_	_	_	_
jnfqu	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
ici	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
filence	O	_	O	_	_	_	_	_	_
fur	O	_	O	_	_	_	_	_	_
foncontenu	O	_	O	_	_	_	_	_	_
.	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
&	O	_	O	_	_	_	_	_	_
qu	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
immédiatement	O	_	O	_	_	_	_	_	_
/	O	_	O	_	_	_	_	_	_
après	O	_	O	_	_	_	_	_	_
fa	O	_	O	_	_	_	_	_	_
préTentation	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
bruit	O	_	O	_	_	_	_	_	_
s	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
eft	O	_	O	_	_	_	_	_	_
répandu	O	_	O	_	_	_	_	_	_
que	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
fénat	O	_	O	_	_	_	_	_	_
y	O	_	O	_	_	_	_	_	_
avoit	O	_	O	_	_	_	_	_	_
propofé	O	_	O	_	_	_	_	_	_
différens	O	_	O	_	_	_	_	_	_
chaiigemens	O	_	O	_	_	_	_	_	_
dans	O	_	O	_	_	_	_	_	_
la	O	_	O	_	_	_	_	_	_
;	O	_	O	_	_	_	_	_	_
eonllitivtion	O	_	O	_	_	_	_	_	_
île	O	_	O	_	_	_	_	_	_
la	O	_	O	_	_	_	_	_	_
république	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
entr	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
autres	O	_	O	_	_	_	_	_	_
celui	O	_	O	_	_	_	_	_	NoSpaceAfter
-	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
l	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
hérédité	O	_	O	_	_	_	_	_	_
du	O	_	O	_	_	_	_	_	_
confiilit	O	_	O	_	_	_	_	_	_
dans	O	_	O	_	_	_	_	_	_
la	O	_	O	_	_	_	_	_	_
:	O	_	O	_	_	_	_	_	_
famille	O	_	O	_	_	_	_	_	_
dé	O	_	O	_	_	_	_	_	_
B	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
onapaite	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	EndOfSentence|NoSpaceAfter
Ce	O	_	O	_	_	_	_	_	_
bruit	O	_	O	_	_	_	_	_	_
paroîtfé	O	_	O	_	_	_	_	_	_
vérifier	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	EndOfSentence|NoSpaceAfter
Uii	O	_	O	_	_	_	_	_	_
courier	O	_	O	_	_	_	_	_	_
extraordinaire	O	_	O	_	_	_	_	_	_
arrivé	O	_	O	_	_	_	_	_	_
ici	O	_	O	_	_	_	_	_	_
ce	O	_	O	_	_	_	_	_	_
matin	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
Paris	B-loc	_	B-loc.adm.town	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
aapporté	O	_	O	_	_	_	_	_	_
à	O	_	O	_	_	_	_	_	NoSpaceAfter
-	O	_	O	_	_	_	_	_	NoSpaceAfter
notre	O	_	O	_	_	_	_	_	_
préfet	O	_	O	_	_	_	_	_	_
des	O	_	O	_	_	_	_	_	_
dépêches	O	_	O	_	_	_	_	_	_
qui	O	_	O	_	_	_	_	_	_
font	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
dit	O	_	O	_	_	_	_	_	NoSpaceAfter
-	O	_	O	_	_	_	_	_	NoSpaceAfter
oni	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	_
relatives	O	_	O	_	_	_	_	_	_
à	O	_	O	_	_	_	_	_	_
cette	O	_	O	_	_	_	_	_	_
msfure	O	_	O	_	_	_	_	_	_
d	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
afferniiflVrne	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
nt	O	_	O	_	_	_	_	_	_
du	O	_	O	_	_	_	_	_	_
gouvernement	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	EndOfSentence|NoSpaceAfter
Le	O	_	O	_	_	_	_	_	_
préfet	O	_	O	_	_	_	_	_	_
s	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	NoSpaceAfter
"	O	_	O	_	_	_	_	_	_
fuite	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
convoqué	O	_	O	_	_	_	_	_	_
les	O	_	O	_	_	_	_	_	_
autorités	O	_	O	_	_	_	_	_	_
civiles	O	_	O	_	_	_	_	_	NoSpaceAfter
-	O	_	O	_	_	_	_	_	_
&	O	_	O	_	_	_	_	_	_
militaires	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
jour	O	_	O	_	_	_	_	_	_
leur	O	_	O	_	_	_	_	_	NoSpaceAfter
-	O	_	O	_	_	_	_	_	NoSpaceAfter
faire	O	_	O	_	_	_	_	_	_
part	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
l	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
objet	O	_	O	_	_	_	_	_	_
des	O	_	O	_	_	_	_	_	_
dépêches	O	_	O	_	_	_	_	_	_
arrivées	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
&	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
îbnmettre	O	_	O	_	_	_	_	_	_
à	O	_	O	_	_	_	_	_	_
leur	O	_	O	_	_	_	_	_	_
délibération	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	EndOfSentence|NoSpaceAfter
Il	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
paroit	O	_	O	_	_	_	_	_	_
»	O	_	O	_	_	_	_	_	_
d	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
après	O	_	O	_	_	_	_	_	_
cela	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
que	O	_	O	_	_	_	_	_	_
cette	O	_	O	_	_	_	_	_	_
affaire	O	_	O	_	_	_	_	_	_
fera	O	_	O	_	_	_	_	_	NoSpaceAfter
-	O	_	O	_	_	_	_	_	_
traitée	O	_	O	_	_	_	_	_	_
