TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
G	B-loc	O	B-pers.ind.articleauthor	O	O	O	_	_	_
R	I-loc	O	I-loc.adm.nat	O	O	O	_	_	_
E	I-loc	O	I-loc.adm.nat	O	O	O	_	_	_
E	I-loc	O	I-loc.adm.nat	O	O	O	_	_	_
F	I-loc	O	I-loc.adm.nat	O	O	O	_	_	_
E	E-loc	O	I-loc.adm.nat	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
1	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
Le	O	O	O	O	O	O	_	_	_
public	O	O	O	O	O	O	_	_	_
est	O	O	O	O	O	O	_	_	_
averti	O	O	O	O	O	O	_	_	_
que	O	O	O	O	O	O	_	_	_
Charlotte	B-pers	O	B-pers.ind	O	O	O	_	_	_
née	I-pers	O	I-pers.ind	O	O	O	_	_	_
Bourgoin	E-pers	O	I-pers.ind	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
femme	O	O	O	O	O	O	_	_	_
-	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
Joseph	B-pers	O	B-pers.ind	O	O	O	_	_	_
Digiez	E-pers	O	I-pers.ind	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
et	O	O	O	O	O	O	_	_	_
Maurice	B-pers	O	B-pers.ind	O	O	O	_	_	_
Bourgoin	E-pers	O	I-pers.ind	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
enfant	O	O	O	O	O	O	_	_	_
mineur	O	O	O	O	O	O	_	_	_
représenté	O	O	O	O	O	O	_	_	_
par	O	O	O	O	O	O	_	_	_
le	O	O	O	O	O	O	_	_	_
sieur	B-pers	O	B-pers.ind	O	B-comp.function	O	_	_	_
Jaques	I-pers	O	I-pers.ind	O	B-comp.name	O	_	_	_
Charles	I-pers	O	I-pers.ind	O	I-comp.name	O	_	_	_
Gicot	I-pers	O	I-pers.ind	O	I-comp.name	O	_	_	_
son	I-pers	O	I-pers.ind	O	O	O	_	_	_
curateur	E-pers	O	I-pers.ind	O	B-comp.function	O	_	_	_
,	O	O	O	O	O	O	_	_	_
ont	O	O	O	O	O	O	_	_	_
été	O	O	O	O	O	O	_	_	_
admis	O	O	O	O	O	O	_	_	_
par	O	O	O	O	O	O	_	_	_
arrêt	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
Conseil	O	O	O	O	O	O	_	_	_
d	O	O	I-org.adm	O	O	O	_	_	_
'	O	O	I-org.adm	O	O	O	_	_	_
Etat	O	O	O	O	O	O	_	_	_
du	B-time	O	B-time.date.abs	O	O	O	_	_	_
5	I-time	O	I-time.date.abs	O	O	O	_	_	_
décembre	I-time	O	I-time.date.abs	O	O	O	_	_	_
1797	E-time	O	I-time.date.abs	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
à	O	O	O	O	O	O	_	_	_
solliciter	O	O	O	O	O	O	_	_	_
une	O	O	O	O	O	O	_	_	_
renonciation	O	O	O	O	O	O	_	_	_
générale	O	O	O	O	O	O	_	_	_
et	O	O	O	O	O	O	_	_	_
absolue	O	O	O	O	O	O	_	_	_
aux	O	O	O	O	O	O	_	_	_
biens	O	O	O	O	O	O	_	_	_
et	O	O	O	O	O	O	_	_	_
aux	O	O	O	O	O	O	_	_	_
dettes	O	O	O	O	O	O	_	_	_
présentes	O	O	O	O	O	O	_	_	_
et	O	O	O	O	O	O	_	_	_
futures	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
Jean	B-pers	O	B-pers.ind	O	O	O	_	_	_
-	I-pers	O	I-pers.ind	O	O	O	_	_	_
Baptiste	I-pers	O	I-pers.ind	O	O	O	_	_	_
Bourgoin	E-pers	O	I-pers.ind	O	O	O	_	_	_
leur	O	O	O	O	O	O	_	_	_
pe	O	O	O	O	O	O	_	_	_
'	O	O	O	O	O	O	_	_	_
re	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
et	O	O	O	O	O	O	_	_	_
qu	O	O	O	O	O	O	_	_	_
'	O	O	O	O	O	O	_	_	_
en	O	O	O	O	O	O	_	_	_
conséquence	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
les	O	O	O	O	O	O	_	_	_
susdits	O	O	O	O	O	O	_	_	_
enfans	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
duement	O	O	O	O	O	O	_	_	_
assistés	O	O	O	O	O	O	_	_	_
et	O	O	O	O	O	O	_	_	_
autorisés	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
se	O	O	O	O	O	O	_	_	_
présenteront	O	O	O	O	O	O	_	_	_
par	O	O	O	O	O	O	_	_	_
-	O	O	O	O	O	O	_	_	_
devant	O	O	O	O	O	O	_	_	_
ia	O	O	O	O	O	O	_	_	_
noble	O	O	O	O	O	O	_	_	_
justice	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
Landeron	B-org	O	B-org.ent	O	O	O	_	_	_
O	E-org	O	I-org.ent	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
le	O	O	O	O	O	O	_	_	_
mer	O	O	O	O	O	O	_	_	_
-	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
credi	O	O	O	O	O	O	_	_	_
17	O	O	O	O	O	O	_	_	_
janvier	O	O	O	O	O	O	_	_	_
courant	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
pour	O	O	O	O	O	O	_	_	_
y	O	O	O	O	O	O	_	_	_
porter	O	O	O	O	O	O	_	_	_
la	O	O	O	O	O	O	_	_	_
prédite	O	O	O	O	O	O	_	_	_
renonciation	O	O	O	O	O	O	_	_	_
;	O	O	O	O	O	O	_	_	_
assignant	O	O	O	O	O	O	_	_	_
péremptoirement	O	O	O	O	O	O	_	_	_
tous	O	O	O	O	O	O	_	_	_
ceux	O	O	O	O	O	O	_	_	_
qui	O	O	O	O	O	O	_	_	_
estimeraient	O	O	O	O	O	O	_	_	_
être	O	O	O	O	O	O	_	_	_
'	O	O	O	O	O	O	_	_	_
fondés	O	O	O	O	O	O	_	_	_
à	O	O	O	O	O	O	_	_	_
