TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
ton	O	O	O	O	O	O	_	_	_
bras	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
L	O	O	O	O	O	O	_	_	_
’	O	O	O	O	O	O	_	_	_
accusatif	O	O	O	O	O	O	_	_	_
yépæ	O	O	O	O	O	O	_	_	_
tient	O	O	O	O	O	O	_	_	_
ici	O	O	O	O	O	O	_	_	_
la	O	O	O	O	O	O	_	_	_
place	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
aliyuñv	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
régulièrement	O	O	O	O	O	O	_	_	_
joint	O	O	O	O	O	O	_	_	_
à	O	O	O	O	O	O	_	_	_
aiypaLetv	O	O	O	O	O	O	_	_	_
dans	O	O	O	O	O	O	_	_	_
Homère	S-pers	O	B-pers.author	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
Euripide	S-pers	O	B-pers.author	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
dit	O	O	O	O	O	O	_	_	_
avec	O	O	O	O	O	O	_	_	_
une	O	O	O	O	O	O	_	_	_
égale	O	O	O	O	O	O	_	_	_
hardiesse	O	O	O	O	O	O	_	_	_
χεῖρας	O	O	O	O	O	O	_	_	_
EtrxovtLoa	O	O	O	O	O	O	_	_	_
(	O	O	O	O	O	O	_	_	_
Iphig	B-work	O	B-work.primlit	O	O	O	_	_	_
.	I-work	O	I-work.primlit	O	O	O	_	_	_
Taur	I-work	O	I-work.primlit	O	O	O	_	_	_
.	E-work	O	I-work.primlit	O	O	O	_	_	_
362	S-scope	O	B-scope	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
404	O	O	O	O	O	O	_	_	_
-	O	O	O	O	O	O	_	_	_
102	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
Εἶεν	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
Le	O	O	O	O	O	O	_	_	_
Scholiaste	O	O	O	O	O	O	_	_	_
d	O	O	O	O	O	O	_	_	_
’	O	O	O	O	O	O	_	_	_
Euripide	S-pers	O	B-pers.author	O	O	O	_	_	_
“	O	O	O	O	O	O	_	_	_
(	O	O	O	O	O	O	_	_	_
Phéniciennes	S-work	O	B-work.primlit	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
849	S-scope	O	B-scope	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
explique	O	O	O	O	O	O	_	_	_
ce	O	O	O	O	O	O	_	_	_
mot	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
la	O	O	O	O	O	O	_	_	_
manière	O	O	O	O	O	O	_	_	_
suivante	O	O	O	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
Elev	O	O	O	O	O	O	_	_	_
Étippnua	O	O	O	O	O	O	_	_	_
toù	O	O	O	O	O	O	_	_	_
μὲν	O	O	O	O	O	O	_	_	_
Tpotépou	O	O	O	O	O	O	_	_	_
Aoyou	O	O	O	O	O	O	_	_	_
Anxtixdv	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
ἑτέρον	O	O	O	O	O	O	_	_	_
δὲ	O	O	O	O	O	O	_	_	_
&pxtixov	O	O	O	O	O	O	_	_	_
[	O	O	O	O	O	O	_	_	_
Lobeck	S-pers	O	B-pers.other	O	O	O	_	_	_
]	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
La	O	O	O	O	O	O	_	_	_
lucution	O	O	O	O	O	O	_	_	_
française	O	O	O	O	O	O	_	_	_
c	O	O	O	O	O	O	_	_	_
'	O	O	O	O	O	O	_	_	_
est	O	O	O	O	O	O	_	_	_
bien	O	O	O	O	O	O	_	_	_
y	O	O	O	O	O	O	_	_	_
équivaut	O	O	O	O	O	O	_	_	_
dans	O	O	O	O	O	O	_	_	_
beaucoup	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
cas	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
—	O	O	O	O	O	O	_	_	_
Ti	O	O	O	O	O	O	_	_	_
yap	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
…	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
ποῦ	O	O	O	O	O	O	_	_	_
χτλ	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
et	O	O	O	O	O	O	_	_	_
le	O	O	O	O	O	O	_	_	_
fils	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
Laërte	S-pers	O	B-pers.myth	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
où	O	O	O	O	O	O	_	_	_
ctc	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
On	O	O	O	O	O	O	_	_	_
peut	O	O	O	O	O	O	_	_	_
se	O	O	O	O	O	O	_	_	_
rendre	O	O	O	O	O	O	_	_	_
compte	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
cette	O	O	O	O	O	O	_	_	_
tournure	O	O	O	O	O	O	_	_	_
très	O	O	O	O	O	O	_	_	_
usitée	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
en	O	O	O	O	O	O	_	_	_
suppléant	O	O	O	O	O	O	_	_	_
πράττει	O	O	O	O	O	O	_	_	_
après	O	O	O	O	O	O	_	_	_
xi	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
103	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
Toünitpirtov	O	O	O	O	O	O	_	_	_
xivabog	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
Scholiaste	O	O	O	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
Τὸ	O	O	O	O	O	O	_	_	_
ἐξῶγες	O	O	O	O	O	O	_	_	_
θηρίον	O	O	O	O	O	O	_	_	_
καὶ	O	O	O	O	O	O	_	_	_
πανοῦργον	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
Κίναὃος	O	O	O	O	O	O	_	_	_
γὰρ	O	O	O	O	O	O	_	_	_
ἡ	O	O	O	O	O	O	_	_	_
&\wnné	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
Ellendt	S-pers	O	B-pers.author	O	O	O	_	_	_
interprète	O	O	O	O	O	O	_	_	_
