TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC	LEVENSHTEIN	DATE
# document_id											
# segment_iiif_link											
G	O	_	_	_	_	_	_	_	_		
R	O	_	_	_	_	_	_	_	_		
E	O	_	_	_	_	_	_	_	_		
E	O	_	_	_	_	_	_	_	_		
F	O	_	_	_	_	_	_	_	_		
E	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE		
1	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Le	O	_	_	_	_	_	_	_	_		
public	O	_	_	_	_	_	_	_	_		
est	O	_	_	_	_	_	_	_	_		
averti	O	_	_	_	_	_	_	_	_		
que	O	_	_	_	_	_	_	_	_		
Charlotte	B-PERS	_	_	_	_	_	_	_	_		
née	I-PERS	_	_	_	_	_	_	_	_		
Bourgoin	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	ENDOFLINE		
femme	O	_	_	_	_	_	_	_	NOSPACEAFTER		
-	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
de	I-PERS	_	_	_	_	_	_	_	_		
Joseph	B-PERS	_	_	_	_	_	_	_	_		
Digiez	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
Maurice	B-PERS	_	_	_	_	_	_	_	_		
Bourgoin	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
enfant	O	_	_	_	_	_	_	_	_		
mineur	O	_	_	_	_	_	_	_	ENDOFLINE		
représenté	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
sieur	B-PERS	_	_	_	_	_	_	_	_		
Jaques	I-PERS	_	_	_	_	_	_	_	_		
Charles	I-PERS	_	_	_	_	_	_	_	_		
Gicot	I-PERS	_	_	_	_	_	_	_	_		
son	O	_	_	_	_	_	_	_	_		
curateur	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	ENDOFLINE		
ont	O	_	_	_	_	_	_	_	_		
été	O	_	_	_	_	_	_	_	_		
admis	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	_		
arrêt	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	_		
Conseil	B-ORG	_	_	_	_	_	_	_	_		
d	I-ORG	_	_	_	_	_	_	_	NOSPACEAFTER		
'	I-ORG	_	_	_	_	_	_	_	NOSPACEAFTER		
Etat	I-ORG	_	_	_	_	_	_	_	_		
du	B-TIME	_	_	_	_	_	_	_	_		
5	I-TIME	_	_	_	_	_	_	_	_		
