TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# document_id											
# segment_iiif_link											
F	O	_	_	_	_	_	_	_	_
R	O	_	_	_	_	_	_	_	_
A	O	_	_	_	_	_	_	_	_
N	O	_	_	_	_	_	_	_	_
C	O	_	_	_	_	_	_	_	_
E	O	_	_	_	_	_	_	_	_
STRASBOURG	O	_	_	_	_	_	_	_	NOSPACEAFTER
,	O	_	_	_	_	_	_	_	_
T	O	_	_	_	_	_	_	_	_
<	O	_	_	_	_	_	_	_	NOSPACEAFTER
)	O	_	_	_	_	_	_	_	_
Avril	O	_	_	_	_	_	_	_	NOSPACEAFTER
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE|NOSPACEAFTER
Les	O	_	_	_	_	_	_	_	_
brigands	O	_	_	_	_	_	_	_	_
qui	O	_	_	_	_	_	_	_	NOSPACEAFTER
'	O	_	_	_	_	_	_	_	NOSPACEAFTER
ont	O	_	_	_	_	_	_	_	_
pillé	O	_	_	_	_	_	_	_	_
là	O	_	_	_	_	_	_	_	_
diligence	O	_	_	_	_	_	_	_	_
d	O	_	_	_	_	_	_	_	NOSPACEAFTER
'	O	_	_	_	_	_	_	_	NOSPACEAFTER
ici	O	_	_	_	_	_	_	_	_
à	O	_	_	_	_	_	_	_	_
Lyon	B-LOC	_	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	_	NOSPACEAFTER
v	O	_	_	_	_	_	_	_	_
;	O	_	_	_	_	_	_	_	_
N	O	_	_	_	_	_	_	_	_
°	O	_	_	_	_	_	_	_	_
J	O	_	_	_	_	_	_	_	NOSPACEAFTER
)	O	_	_	_	_	_	_	_	NOSPACEAFTER
,	O	_	_	_	_	_	_	_	_
ont	O	_	_	_	_	_	_	_	_
été	O	_	_	_	_	_	_	_	_
découverts	O	_	_	_	_	_	_	_	NOSPACEAFTER
,	O	_	_	_	_	_	_	_	_
&	O	_	_	_	_	_	_	_	_
fe	O	_	_	_	_	_	_	_	_
trouvent	O	_	_	_	_	_	_	_	NOSPACEAFTER
.	O	_	_	_	_	_	_	_	_
acTuellement	O	_	_	_	_	_	_	_	_
dans	O	_	_	_	_	_	_	_	_
lès	O	_	_	_	_	_	_	_	_
prifons	O	_	_	_	_	_	_	_	_
deColmar	O	_	_	_	_	_	_	_	PARTIAL-2:8
:	O	_	_	_	_	_	_	_	_
>	O	_	_	_	_	_	_	_	_
Voici	O	_	_	_	_	_	_	_	_
ce	O	_	_	_	_	_	_	_	_
qu	O	_	_	_	_	_	_	_	NOSPACEAFTER
'	O	_	_	_	_	_	_	_	NOSPACEAFTER
on	O	_	_	_	_	_	_	_	_
mande	O	_	_	_	_	_	_	_	_
de	O	_	_	_	_	_	_	_	_
Metz	B-LOC	_	_	_	_	_	_	_	NOSPACEAFTER
,	O	_	_	_	_	_	_	_	_
