TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
vellessaan	O	_	_	_	_	_	_	_	_
tsaaria	O	_	_	_	_	_	_	_	_
ja	O	_	_	_	_	_	_	_	_
isänmaata	O	_	_	_	_	_	_	_	_
seka	O	_	_	_	_	_	_	_	_
hänen	O	_	_	_	_	_	_	_	_
järkkymättömästä	O	_	_	_	_	_	_	_	_
velvollisuu	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
dentunnostaan	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Edelleen	O	_	_	_	_	_	_	_	_
laski	O	_	_	_	_	_	_	_	_
valta	B-PER	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
kunnanduuman	O	_	_	_	_	_	_	_	_
puheenjohtaja	B-PER	_	_	_	_	_	_	_	_
Rod	B-ORG	_	_	_	_	_	_	_	_
-	I-PER	_	_	_	_	_	_	_	_
Seura	I-PER	_	_	_	_	_	_	_	_
julkaisee	O	_	_	_	_	_	_	_	_
4	O	_	_	_	_	_	_	_	_
aikakauslehteä	O	_	_	_	_	_	_	_	_
ja	O	_	_	_	_	_	_	_	_
sillä	O	_	_	_	_	_	_	_	_
on	O	_	_	_	_	_	_	_	_
oma	O	_	_	_	_	_	_	_	_
kirjapaino	O	_	_	_	_	_	_	_	_
sekä	O	_	_	_	_	_	_	_	_
8	O	_	_	_	_	_	_	_	_
kir	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
jastoa	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Luennoilla	O	_	_	_	_	_	_	_	_
on	O	_	_	_	_	_	_	_	_
käynyt	O	_	_	_	_	_	_	_	_
1	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
833	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
000	O	_	_	_	_	_	_	_	_
kuuntelijaa	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Seura	O	_	_	_	_	_	_	_	_
pitää	O	_	_	_	_	_	_	_	_
yllä	O	_	_	_	_	_	_	_	_
8	O	_	_	_	_	_	_	_	_
koulua	O	_	_	_	_	_	_	_	_
ja	O	_	_	_	_	_	_	_	_
on	O	_	_	_	_	_	_	_	_
jakanut	O	_	_	_	_	_	_	_	_
apurahoina	O	_	_	_	_	_	_	_	_
20	O	_	_	_	_	_	_	_	_
tuh	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
ruplaa	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Sillä	O	_	_	_	_	_	_	_	_
on	O	_	_	_	_	_	_	_	_
työnvälitystoimisto	O	_	_	_	_	_	_	_	_
omia	O	_	_	_	_	_	_	_	_
jä	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
seniänsä	O	_	_	_	_	_	_	_	_
varten	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Hänen	O	_	_	_	_	_	_	_	_
Majesteettin	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
sa	O	_	_	_	_	_	_	_	_
on	O	_	_	_	_	_	_	_	_
lahjoittanut	O	_	_	_	_	_	_	_	_
seuralle	O	_	_	_	_	_	_	_	_
entisen	O	_	_	_	_	_	_	_	_
keisarillisen	O	_	_	_	_	_	_	_	_
jahtilaivan	O	_	_	_	_	_	_	_	_
»	O	_	_	_	_	_	_	_	_
Marevon	O	_	_	_	_	_	_	_	_
»	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
jolle	O	_	_	_	_	_	_	_	_
järjestetään	O	_	_	_	_	_	_	_	_
kirkko	O	_	_	_	_	_	_	_	_
ja	O	_	_	_	_	_	_	_	_
raittius	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
museo	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Tuo	O	_	_	_	_	_	_	_	_
hengellinen	O	_	_	_	_	_	_	_	_
raittiusseura	O	_	_	_	_	_	_	_	_
on	O	_	_	_	_	_	_	_	_
nykyään	O	_	_	_	_	_	_	_	_
muuttumassa	O	_	_	_	_	_	_	_	_
yleisvaltakun	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
nalliseksi	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Se	O	_	_	_	_	_	_	_	_
on	O	_	_	_	_	_	_	_	_
ottanut	O	_	_	_	_	_	_	_	_
osaa	O	_	_	_	_	_	_	_	_
moneen	O	_	_	_	_	_	_	_	_
Roosevelt	B-PER	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
näyttelyyn	O	_	_	_	_	_	_	_	_
Venäjällä	B-LOC	_	_	_	_	_	_	_	_
ja	O	_	_	_	_	_	_	_	_
ulkomailla	O	_	_	_	_	_	_	_	_
ja	O	_	_	_	_	_	_	_	_
saanut	O	_	_	_	_	_	_	_	_
palkintoja	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
—	O	_	_	_	_	_	_	_	_
Tiedemiehen	O	_	_	_	_	_	_	_	_
salaperäinen	O	_	_	_	_	_	_	_	_
kuo	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
lema	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Toissapäivänä	O	_	_	_	_	_	_	_	_
tavattiin	O	_	_	_	_	_	_	_	_
duu	B-PER	_	_	_	_	_	_	_	_
-	I-PER	_	_	_	_	_	_	_	_
man	I-PER	_	_	_	_	_	_	_	_
jäsenen	I-PER	_	_	_	_	_	_	_	_
Vostrotinin	I-PER	_	_	_	_	_	_	_	_
asunnossa	O	_	_	_	_	_	_	_	_
Poincaré	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Toulousesta	B-LOC	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
syysk	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
18	O	_	_	_	_	_	_	_	_
p	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
3	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
000	O	_	_	_	_	_	_	_	_
kutsuvieraan	O	_	_	_	_	_	_	_	_
läsnäollessa	O	_	_	_	_	_	_	_	_
piti	O	_	_	_	_	_	_	_	_
Poincaré	B-PER	_	_	_	_	_	_	_	_
aamiaisilla	O	_	_	_	_	_	_	_	_
puheen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
jossa	O	_	_	_	_	_	_	_	_
hän	O	_	_	_	_	_	_	_	_
huomautti	O	_	_	_	_	_	_	_	_
rauhan	O	_	_	_	_	_	_	_	_
välttämättö	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
myydestä	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
lausuen	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
että	O	_	_	_	_	_	_	_	_
kansa	O	_	_	_	_	_	_	_	_
on	O	_	_	_	_	_	_	_	_
kii	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
tollinen	O	_	_	_	_	_	_	_	_
