TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Celui	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
ci	O	_	_	_	_	_	_	_	_
me	O	_	_	_	_	_	_	_	_
verse	O	_	_	_	_	_	_	_	_
un	O	_	_	_	_	_	_	_	_
petit	O	_	_	_	_	_	_	_	_
vin	O	_	_	_	_	_	_	_	_
rouge	O	_	_	_	_	_	_	_	_
con¬	O	_	_	_	_	_	_	_	_
tenu	O	_	_	_	_	_	_	_	_
dans	O	_	_	_	_	_	_	_	_
une	O	_	_	_	_	_	_	_	_
bouteille	O	_	_	_	_	_	_	_	_
dont	O	_	_	_	_	_	_	_	_
le	O	_	_	_	_	_	_	_	_
s	O	_	_	_	_	_	_	_	_
'	O	_	_	_	_	_	_	_	_
adorne	O	_	_	_	_	_	_	_	_
d	O	_	_	_	_	_	_	_	_
'	O	_	_	_	_	_	_	_	_
un	O	_	_	_	_	_	_	_	_
cachet	O	_	_	_	_	_	_	_	_
qui	O	_	_	_	_	_	_	_	_
semble	O	_	_	_	_	_	_	_	_
suspect	O	_	_	_	_	_	_	_	_
comme	O	_	_	_	_	_	_	_	_
une	O	_	_	_	_	_	_	_	_
décoration	O	_	_	_	_	_	_	_	_
sur	O	_	_	_	_	_	_	_	_
un	O	_	_	_	_	_	_	_	_
monsieur	O	_	_	_	_	_	_	_	_
aux	O	_	_	_	_	_	_	_	_
doigts	O	_	_	_	_	_	_	_	_
chargés	O	_	_	_	_	_	_	_	_
de	O	_	_	_	_	_	_	_	_
trop	O	_	_	_	_	_	_	_	_
de	O	_	_	_	_	_	_	_	_
bagues	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
—	O	_	_	_	_	_	_	_	_
C	O	_	_	_	_	_	_	_	_
'	O	_	_	_	_	_	_	_	_
est	O	_	_	_	_	_	_	_	_
deux	O	_	_	_	_	_	_	_	_
francs	O	_	_	_	_	_	_	_	_
!	O	_	_	_	_	_	_	_	_
Ce	O	_	_	_	_	_	_	_	_
vin	O	_	_	_	_	_	_	_	_
m	O	_	_	_	_	_	_	_	_
'	O	_	_	_	_	_	_	_	_
a	O	_	_	_	_	_	_	_	_
mis	O	_	_	_	_	_	_	_	_
en	O	_	_	_	_	_	_	_	_
goût	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Je	O	_	_	_	_	_	_	_	_
m	O	_	_	_	_	_	_	_	_
'	O	_	_	_	_	_	_	_	_
asse	O	_	_	_	_	_	_	_	_
maintenant	O	_	_	_	_	_	_	_	_
dans	O	_	_	_	_	_	_	_	_
ce	O	_	_	_	_	_	_	_	_
café	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
boulevards	O	_	_	_	_	_	_	_	_
où	O	_	_	_	_	_	_	_	_
Ernest	B-PER	_	_	_	_	_	_	_	_
la	I-PER	_	_	_	_	_	_	_	_
Jeunesse	I-PER	_	_	_	_	_	_	_	_
avait	O	_	_	_	_	_	_	_	_
sa	O	_	_	_	_	_	_	_	_
table	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
—	O	_	_	_	_	_	_	_	_
Nous	O	_	_	_	_	_	_	_	_
n	O	_	_	_	_	_	_	_	_
'	O	_	_	_	_	_	_	_	_
avons	O	_	_	_	_	_	_	_	_
pas	O	_	_	_	_	_	_	_	_
de	O	_	_	_	_	_	_	_	_
vin	O	_	_	_	_	_	_	_	_
rouge	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
me	O	_	_	_	_	_	_	_	_
répond	O	_	_	_	_	_	_	_	_
le	O	_	_	_	_	_	_	_	_
garçon	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	_	_
Celui	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
ci	O	_	_	_	_	_	_	_	_
a	O	_	_	_	_	_	_	_	_
l	O	_	_	_	_	_	_	_	_
'	O	_	_	_	_	_	_	_	_
air	O	_	_	_	_	_	_	_	_
protec¬	O	_	_	_	_	_	_	_	_
teur	O	_	_	_	_	_	_	_	_
et	O	_	_	_	_	_	_	_	_
me	O	_	_	_	_	_	_	_	_
marque	O	_	_	_	_	_	_	_	_
quelque	O	_	_	_	_	_	_	_	_
commisèra	O	_	_	_	_	_	_	_	_
tion	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Brave	O	_	_	_	_	_	_	_	_
cœur	O	_	_	_	_	_	_	_	_
!	O	_	_	_	_	_	_	_	_
Il	O	_	_	_	_	_	_	_	_
croit	O	_	_	_	_	_	_	_	_
que	O	_	_	_	_	_	_	_	_
je	O	_	_	_	_	_	_	_	_
me	O	_	_	_	_	_	_	_	_
sui¬	O	_	_	_	_	_	_	_	_
trompé	O	_	_	_	_	_	_	_	_
d	O	_	_	_	_	_	_	_	_
'	O	_	_	_	_	_	_	_	_
établissement	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
)	O	_	_	_	_	_	_	_	_
Nous	O	_	_	_	_	_	_	_	_
n	O	_	_	_	_	_	_	_	_
'	O	_	_	_	_	_	_	_	_
enavon¬	O	_	_	_	_	_	_	_	_
qu	O	_	_	_	_	_	_	_	_
'	O	_	_	_	_	_	_	_	_
en	O	_	_	_	_	_	_	_	_
bouteille	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Voulez	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
vous	O	_	_	_	_	_	_	_	_
du	O	_	_	_	_	_	_	_	_
bli	O	_	_	_	_	_	_	_	_
J	O	_	_	_	_	_	_	_	_
'	O	_	_	_	_	_	_	_	_
accepte	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Et	O	_	_	_	_	_	_	_	_
le	O	_	_	_	_	_	_	_	_
même	O	_	_	_	_	_	_	_	_
cérémoninl	O	_	_	_	_	_	_	_	_
que	O	_	_	_	_	_	_	_	_
précédemment	O	_	_	_	_	_	_	_	_
recommence	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Les	O	_	_	_	_	_	_	_	_
garçons	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
en	O	_	_	_	_	_	_	_	_
effet	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
vont	O	_	_	_	_	_	_	_	_
par	O	_	_	_	_	_	_	_	_
deux	O	_	_	_	_	_	_	_	_
comme	O	_	_	_	_	_	_	_	_
les	O	_	_	_	_	_	_	_	_
alexan¬	O	_	_	_	_	_	_	_	_
drins	O	_	_	_	_	_	_	_	_
et	O	_	_	_	_	_	_	_	_
les	O	_	_	_	_	_	_	_	_
chevaux	O	_	_	_	_	_	_	_	_
de	O	_	_	_	_	_	_	_	_
corbillard	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
