TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Till	O	_	_	_	_	_	_	_	_
sin	O	_	_	_	_	_	_	_	_
personlighet	O	_	_	_	_	_	_	_	_
gentleman	O	_	_	_	_	_	_	_	_
i	O	_	_	_	_	_	_	_	_
ordets	O	_	_	_	_	_	_	_	_
vackraste	O	_	_	_	_	_	_	_	_
betydelse	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
varmhjär	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
tad	O	_	_	_	_	_	_	_	_
och	O	_	_	_	_	_	_	_	_
ädelsinnad	O	_	_	_	_	_	_	_	_
som	O	_	_	_	_	_	_	_	_
få	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
kunde	O	_	_	_	_	_	_	_	_
såsom	O	_	_	_	_	_	_	_	_
belysande	O	_	_	_	_	_	_	_	_
härför	O	_	_	_	_	_	_	_	_
många	O	_	_	_	_	_	_	_	_
vack	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
ra	O	_	_	_	_	_	_	_	_
drag	O	_	_	_	_	_	_	_	_
framhållas	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Det	O	_	_	_	_	_	_	_	_
var	O	_	_	_	_	_	_	_	_
dock	O	_	_	_	_	_	_	_	_
i	O	_	_	_	_	_	_	_	_
det	O	_	_	_	_	_	_	_	_
tysta	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
som	O	_	_	_	_	_	_	_	_
Robert	B-PER	_	_	_	_	_	_	_	_
Lydecken	I-PER	_	_	_	_	_	_	_	_
hälst	O	_	_	_	_	_	_	_	_
utöfvade	O	_	_	_	_	_	_	_	_
sin	O	_	_	_	_	_	_	_	_
välgörenhet	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Vare	O	_	_	_	_	_	_	_	_
det	O	_	_	_	_	_	_	_	_
sagdt	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
att	O	_	_	_	_	_	_	_	_
stort	O	_	_	_	_	_	_	_	_
är	O	_	_	_	_	_	_	_	_
deras	O	_	_	_	_	_	_	_	_
antal	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
som	O	_	_	_	_	_	_	_	_
stå	O	_	_	_	_	_	_	_	_
i	O	_	_	_	_	_	_	_	_
tacksamhetsskuld	O	_	_	_	_	_	_	_	_
hos	O	_	_	_	_	_	_	_	_
Robert	B-PER	_	_	_	_	_	_	_	_
Lydecken	I-PER	_	_	_	_	_	_	_	_
och	O	_	_	_	_	_	_	_	_
hvilka	O	_	_	_	_	_	_	_	_
nedkalla	O	_	_	_	_	_	_	_	_
frid	O	_	_	_	_	_	_	_	_
och	O	_	_	_	_	_	_	_	_
välsignelse	O	_	_	_	_	_	_	_	_
öfver	O	_	_	_	_	_	_	_	_
hans	O	_	_	_	_	_	_	_	_
minne	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Närmast	O	_	_	_	_	_	_	_	_
sörjes	O	_	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_	_
hänsofne	O	_	_	_	_	_	_	_	_
af	O	_	_	_	_	_	_	_	_
efterlämnad	O	_	_	_	_	_	_	_	_
maka	O	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
född	I-PER	_	_	_	_	_	_	_	_
Wahl	I-PER	_	_	_	_	_	_	_	_
,	O	_	_	_	_	_	_	_	_
samt	O	_	_	_	_	_	_	_	_
en	O	_	_	_	_	_	_	_	_
talrik	O	_	_	_	_	_	_	_	_
syskon	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
och	O	_	_	_	_	_	_	_	_
släktkrets	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
—	O	_	_	_	_	_	_	_	_
H	B-PER	_	_	_	_	_	_	_	_
.	I-PER	_	_	_	_	_	_	_	_
exc	I-PER	_	_	_	_	_	_	_	_
.	I-PER	_	_	_	_	_	_	_	_
ministerstatssek	I-PER	_	_	_	_	_	_	_	_
-	I-PER	_	_	_	_	_	_	_	_
reteraren	I-PER	_	_	_	_	_	_	_	_
,	I-PER	_	_	_	_	_	_	_	_
generallöjtnant	I-PER	_	_	_	_	_	_	_	_
W	I-PER	_	_	_	_	_	_	_	_
.	I-PER	_	_	_	_	_	_	_	_
von	I-PER	_	_	_	_	_	_	_	_
Dæhn	I-PER	_	_	_	_	_	_	_	_
passerade	O	_	_	_	_	_	_	_	_
i	O	_	_	_	_	_	_	_	_
går	O	_	_	_	_	_	_	_	_
Viborg	B-LOC	_	_	_	_	_	_	_	_
på	O	_	_	_	_	_	_	_	_
väg	O	_	_	_	_	_	_	_	_
från	O	_	_	_	_	_	_	_	_
Petersburg	B-LOC	_	_	_	_	_	_	_	_
till	O	_	_	_	_	_	_	_	_
sitt	O	_	_	_	_	_	_	_	_
gods	O	_	_	_	_	_	_	_	_
i	O	_	_	_	_	_	_	_	_
Sip	B-LOC	_	_	_	_	_	_	_	_
-	I-LOC	_	_	_	_	_	_	_	_
pola	I-LOC	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
—	O	_	_	_	_	_	_	_	_
Stadens	O	_	_	_	_	_	_	_	_
formän	O	_	_	_	_	_	_	_	_
ha	O	_	_	_	_	_	_	_	_
hos	O	_	_	_	_	_	_	_	_
magistraten	O	_	_	_	_	_	_	_	_
ånyo	O	_	_	_	_	_	_	_	_
anhållit	O	_	_	_	_	_	_	_	_
om	O	_	_	_	_	_	_	_	_
betriel	O	_	_	_	_	_	_	_	_
-	O	_	_	_	_	_	_	_	_
se	O	_	_	_	_	_	_	_	_
från	O	_	_	_	_	_	_	_	_
skyldigheten	O	_	_	_	_	_	_	_	_
att	O	_	_	_	_	_	_	_	_
ombesörja	O	_	_	_	_	_	_	_	_
vattensläpning	O	_	_	_	_	_	_	_	_
vid	O	_	_	_	_	_	_	_	_
eldsvådor	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
—	O	_	_	_	_	_	_	_	_
Villaköp	O	_	_	_	_	_	_	_	_
.	O	_	_	_	_	_	_	_	_
Handlanden	B-PER	_	_	_	_	_	_	_	_
K	I-PER	_	_	_	_	_	_	_	_
.	I-PER	_	_	_	_	_	_	_	_
A	I-PER	_	_	_	_	_	_	_	_
.	I-PER	_	_	_	_	_	_	_	_
