TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/de/retokenized/Wecklein1894_0008.xmi
# hipe2022:license = CC-BY
# hipe2022:language = de
# hipe2022:document_type = commentary
# hipe2022:document_id = Wecklein1894_0008
# hipe2022:date = 1894-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.3
# ajmc:title = Sophokleus Aias
# ajmc:publication_place = München
# ajmc:publication_date = 1894
# ajmc:page = 8
# ajmc:author = Wecklein, Nikolaus
Leiche	O	_	_	_	_	O	-	_	-
des	O	_	_	_	_	O	-	_	-
Achilleus	B-pers	_	_	_	_	O	Q41746	_	-
ſich	O	_	_	_	_	O	-	_	-
unterhalten	O	_	_	_	_	O	-	_	-
und	O	_	_	_	_	O	-	_	-
ſchließlich	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
That	O	_	_	_	_	O	-	_	-
des	O	_	_	_	_	O	-	_	-
Odyſſeus	B-pers	_	_	_	_	O	Q47231	_	-
den	O	_	_	_	_	O	-	_	-
Vorzug	O	_	_	_	_	O	-	_	-
geben	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Darnach	O	_	_	_	_	O	-	_	-
wird	O	_	_	_	_	O	-	_	-
entſchieden	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Im	O	_	_	_	_	O	-	_	-
Unwillen	O	_	_	_	_	O	-	_	-
wird	O	_	_	_	_	O	-	_	-
Aias	B-pers	_	_	_	_	O	Q172725	_	-
von	O	_	_	_	_	O	-	_	-
Wahnſinn	O	_	_	_	_	O	-	_	-
befallen	O	_	_	_	_	O	-	_	-
und	O	_	_	_	_	O	-	_	-
will	O	_	_	_	_	O	-	_	-
in	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
Wut	O	_	_	_	_	O	-	_	-
die	O	_	_	_	_	O	-	_	-
Atriden	O	_	_	_	_	O	-	_	-
und	O	_	_	_	_	O	-	_	-
Odyſſeus	B-pers	_	_	_	_	O	Q47231	_	-
ermorden	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
fällt	O	_	_	_	_	O	-	_	-
aber	O	_	_	_	_	O	-	_	-
über	O	_	_	_	_	O	-	_	-
die	O	_	_	_	_	O	-	_	-
Herden	O	_	_	_	_	O	-	_	-
des	O	_	_	_	_	O	-	_	-
Heeres	O	_	_	_	_	O	-	_	-
her	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Schon	O	_	_	_	_	O	-	_	-
hier	O	_	_	_	_	O	-	_	-
alſo	O	_	_	_	_	O	-	_	-
ſcheint	O	_	_	_	_	O	-	_	-
nicht	O	_	_	_	_	O	-	_	-
die	O	_	_	_	_	O	-	_	-
Kränkung	O	_	_	_	_	O	-	_	-
und	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
Groll	O	_	_	_	_	O	-	_	-
wegen	O	_	_	_	_	O	-	_	-
dieſer	O	_	_	_	_	O	-	_	-
Kränkung	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
ſondern	O	_	_	_	_	O	-	_	-
das	O	_	_	_	_	O	-	_	-
Gefühl	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
ſich	O	_	_	_	_	O	-	_	-
vor	O	_	_	_	_	O	-	_	-
ſeinen	O	_	_	_	_	O	-	_	-
Feinden	O	_	_	_	_	O	-	_	-
lächerlich	O	_	_	_	_	O	-	_	-
gemacht	O	_	_	_	_	O	-	_	-
zu	O	_	_	_	_	O	-	_	-
haben	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
Beweggrund	O	_	_	_	_	O	-	_	-
des	O	_	_	_	_	O	-	_	-
Selbſtmordes	O	_	_	_	_	O	-	_	-
zu	O	_	_	_	_	O	-	_	-
ſein	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
—	O	_	_	_	_	O	-	_	-
Dramatiſch	O	_	_	_	_	O	-	_	-
war	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
Stoff	O	_	_	_	_	O	-	_	-
vor	O	_	_	_	_	O	-	_	-
Sophokles	B-pers	_	_	_	_	O	Q7235	_	-
von	O	_	_	_	_	O	-	_	-
Äſchylos	B-pers	_	_	_	_	O	Q40939	_	-
behandelt	O	_	_	_	_	O	-	_	-
worden	O	_	_	_	_	O	-	_	-
in	O	_	_	_	_	O	-	_	-
den	O	_	_	_	_	O	-	_	-
Θροῇσσαι	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
denen	O	_	_	_	_	O	-	_	-
vielleicht	O	_	_	_	_	O	-	_	-
in	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
Trilogie	O	_	_	_	_	O	-	_	-
das	O	_	_	_	_	O	-	_	-
"Stüc>""OnJw»"	O	_	_	_	_	O	-	_	-
κοίσις	O	_	_	_	_	O	-	_	-
vorherging	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
das	O	_	_	_	_	O	-	_	-
Stück	O	_	_	_	_	O	-	_	-
Σαλαμίνιαι	O	_	_	_	_	O	-	_	-
folgte	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
In	O	_	_	_	_	O	-	_	-
dem	O	_	_	_	_	O	-	_	-
Drama	O	_	_	_	_	O	-	_	-
Ὅπλων	O	_	_	_	_	O	-	_	-
κρίσις	O	_	_	_	_	O	-	_	-
mußten	O	_	_	_	_	O	-	_	-
jedenfalls	O	_	_	_	_	O	-	_	-
diejenigen	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
nach	O	_	_	_	_	O	-	_	-
deren	O	_	_	_	_	O	-	_	-
Urteil	O	_	_	_	_	O	-	_	-
entſchieden	O	_	_	_	_	O	-	_	-
wurde	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
Achäer	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
nicht	O	_	_	_	_	O	-	_	-
Troianer	O	_	_	_	_	O	-	_	-
ſein	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Von	O	_	_	_	_	O	-	_	-
den	O	_	_	_	_	O	-	_	-
Θοῇσσαι	O	_	_	_	_	O	-	_	-
(	O	_	_	_	_	O	-	_	-
kriegsgefangene	O	_	_	_	_	O	-	_	-
Frauen	O	_	_	_	_	O	-	_	-
bildeten	O	_	_	_	_	O	-	_	-
den	O	_	_	_	_	O	-	_	-
Chor	O	_	_	_	_	O	-	_	-
)	O	_	_	_	_	O	-	_	-
erfahren	O	_	_	_	_	O	-	_	-
wir	O	_	_	_	_	O	-	_	-
nur	O	_	_	_	_	O	-	_	-
das	O	_	_	_	_	O	-	_	-
eine	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
daß	O	_	_	_	_	O	-	_	-
darin	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
Selbſtmord	O	_	_	_	_	O	-	_	-
des	O	_	_	_	_	O	-	_	-
Aias	B-pers	_	_	_	_	O	Q172725	_	-
nicht	O	_	_	_	_	O	-	_	-
wie	O	_	_	_	_	O	-	_	-
bei	O	_	_	_	_	O	-	_	-
Sophokles	B-pers	_	_	_	_	O	Q7235	_	-
auf	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
Bühne	O	_	_	_	_	O	-	_	-
dargeſtellt	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
ſondern	O	_	_	_	_	O	-	_	-
durch	O	_	_	_	_	O	-	_	-
einen	O	_	_	_	_	O	-	_	-
Boten	O	_	_	_	_	O	-	_	-
erzählt	O	_	_	_	_	O	-	_	-
war	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Faſt	O	_	_	_	_	O	-	_	-
in	O	_	_	_	_	O	-	_	-
Widerſpruch	O	_	_	_	_	O	-	_	-
mit	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
Rolle	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
welche	O	_	_	_	_	O	-	_	-
Odyſſeus	B-pers	_	_	_	_	O	Q47231	_	-
im	O	_	_	_	_	O	-	_	-
Waffenſtreite	O	_	_	_	_	O	-	_	-
ſpielt	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
ſteht	O	_	_	_	_	O	-	_	-
bei	O	_	_	_	_	O	-	_	-
Sophokles	B-pers	_	_	_	_	O	Q7235	_	-
das	O	_	_	_	_	O	-	_	-
Benehmen	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
welches	O	_	_	_	_	O	-	_	-
Odyſſeus	B-pers	_	_	_	_	O	Q47231	_	-
dem	O	_	_	_	_	O	-	_	-
Aias	B-pers	_	_	_	_	O	Q172725	_	-
gegenüber	O	_	_	_	_	O	-	_	-
an	O	_	_	_	_	O	-	_	-
den	O	_	_	_	_	O	-	_	-
Tag	O	_	_	_	_	O	-	_	-
legt	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Gleich	O	_	_	_	_	O	-	_	-
im	O	_	_	_	_	O	-	_	-
Prologe	O	_	_	_	_	O	-	_	-
tritt	O	_	_	_	_	O	-	_	-
er	O	_	_	_	_	O	-	_	-
