TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/en/retokenized/cu31924087948174_0022.xmi
# hipe2022:license = CC-BY
# hipe2022:language = en
# hipe2022:document_type = commentary
# hipe2022:document_id = cu31924087948174_0022
# hipe2022:date = 1881-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.3
# ajmc:title = Sophocles
# ajmc:publication_place = Oxford
# ajmc:publication_date = 1881
# ajmc:page = 22
# ajmc:author = Campbell, Lewis
1449	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
τῆσ	O	_	_	_	_	O	-	_	-
φιλτάτησ	O	_	_	_	_	O	-	_	-
OT	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
and	O	_	_	_	_	O	-	_	-
corrected	O	_	_	_	_	O	-	_	-
by	O	_	_	_	_	O	-	_	-
pr	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
m	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
in	O	_	_	_	_	O	-	_	-
L	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
Edd	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
“	O	_	_	_	_	O	-	_	-
τε	O	_	_	_	_	O	-	_	-
φιλτάτων	O	_	_	_	_	O	-	_	-
LA	O	_	_	_	_	O	-	_	-
”	O	_	_	_	_	O	-	_	-
Jahnl	B-pers	_	_	_	_	O	NIL	_	-
1454	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
ἂρ	O	_	_	_	_	O	-	_	-
’	O	_	_	_	_	O	-	_	-
O	O	_	_	_	_	O	-	_	-
Pal	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
ἄρ᾽	O	_	_	_	_	O	-	_	-
Edd	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
ἄρ᾽	O	_	_	_	_	O	-	_	-
A	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
1456	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
εἰωθότωσ	O	_	_	_	_	O	-	_	-
OL	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
εἰωθότοσ	O	_	_	_	_	O	-	_	-
A	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
1460	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
αὐτῶν	O	_	_	_	_	O	-	_	-
OL	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
αὐτὸν	O	_	_	_	_	O	-	_	-
A	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Vat	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
ac	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
(	O	_	_	_	_	O	-	_	-
1467	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
εἰ	O	_	_	_	_	O	-	_	-
δ᾽	O	_	_	_	_	O	-	_	-
ἔπεστι	O	_	_	_	_	O	-	_	-
O	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
Edd	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
A	O	_	_	_	_	O	-	_	-
not	O	_	_	_	_	O	-	_	-
known	O	_	_	_	_	O	-	_	-
)	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
1469	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
τοι	O	_	_	_	_	O	-	_	-
O	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
Edd	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
re	O	_	_	_	_	O	-	_	-
