TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = NZZ-1798-01-20-a-p0002
# hipe2022:date = 1798-01-20
# hipe2022:language = de
# hipe2022:document_type = newspaper
# hipe2022:dataset = hipe2020
# hipe2022:original_source = v1.4.1/de/HIPE-data-v1.4.1-test-de.tsv
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-COARSE-METO NE-FINE-LIT NE-FINE-METO NE-FINE-COMP NE-NESTED NEL-LIT NEL-METO MISC
# hipe2020:doi = https://zenodo.org/record/6046853
# hipe2020:version = v1.4.1
# hipe2020:original_license = CC-BY-NC-SA 4.0
# hipe2020:publication_title = NZZ
Neuigkeiten	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
(	O	_	_	_	_	O	-	_	-
Mißhandlung	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
Franken	O	_	_	_	_	O	-	_	-
in	O	_	_	_	_	O	-	_	-
Rom	B-loc	_	_	_	_	O	Q220	_	-
.	O	_	_	_	_	O	-	_	-
]	O	_	_	_	_	O	-	_	-
Buonaparte	B-pers	_	_	_	_	O	Q151869	_	-
'	I-pers	_	_	_	_	O	Q151869	_	-
s	I-pers	_	_	_	_	O	Q151869	_	-
Bruder	O	_	_	_	_	O	-	_	-
hat	O	_	_	_	_	O	-	_	-
die	O	_	_	_	_	O	-	_	-
neulich	O	_	_	_	_	O	-	_	-
schon	O	_	_	_	_	O	-	_	-
erzählten	O	_	_	_	_	O	-	_	-
Vorfälle	O	_	_	_	_	O	-	_	-
in	O	_	_	_	_	O	-	_	-
Rom	B-loc	_	_	_	_	O	Q220	_	-
ans	O	_	_	_	_	O	-	_	-
Directorium	O	_	_	_	_	O	-	_	-
berichtet	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
und	O	_	_	_	_	O	-	_	-
die	O	_	_	_	_	O	-	_	-
verdächtige	O	_	_	_	_	O	-	_	-
Weise	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
mit	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
die	O	_	_	_	_	O	-	_	-
römische	O	_	_	_	_	O	-	_	-
Regierung	O	_	_	_	_	O	-	_	-
sich	O	_	_	_	_	O	-	_	-
dabey	O	_	_	_	_	O	-	_	-
betrug	O	_	_	_	_	O	-	_	-
in	O	_	_	_	_	O	-	_	-
ein	O	_	_	_	_	O	-	_	-
sehr	O	_	_	_	_	O	-	_	-
klares	O	_	_	_	_	O	-	_	-
Licht	O	_	_	_	_	O	-	_	-
gesezt	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Er	O	_	_	_	_	O	-	_	-
hatte	O	_	_	_	_	O	-	_	-
schon	O	_	_	_	_	O	-	_	-
den	O	_	_	_	_	O	-	_	-
25	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Dec	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
einige	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
Aufrührer	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
die	O	_	_	_	_	O	-	_	-
im	O	_	_	_	_	O	-	_	-
Vertrauen	O	_	_	_	_	O	-	_	-
Frank	B-loc	_	_	_	_	O	-	_	-
reichs	I-loc	_	_	_	_	O	-	_	-
Schutz	O	_	_	_	_	O	-	_	-
und	O	_	_	_	_	O	-	_	-
Beystand	O	_	_	_	_	O	-	_	-
erflehten	O	_	_	_	_	O	-	_	-
sehr	O	_	_	_	_	O	-	_	-
dringend	O	_	_	_	_	O	-	_	-
„	O	_	_	_	_	O	-	_	-
und	O	_	_	_	_	O	-	_	-
derb	O	_	_	_	_	O	-	_	-
abgewiesen	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
und	O	_	_	_	_	O	-	_	-
vom	O	_	_	_	_	O	-	_	-
ganzen	O	_	_	_	_	O	-	_	-
Vorhaben	O	_	_	_	_	O	-	_	-
dem	O	_	_	_	_	O	-	_	-
Kardinal	O	_	_	_	_	O	-	_	-
Staatssekretär	O	_	_	_	_	O	-	_	-
Nachricht	O	_	_	_	_	O	-	_	-
gegeben	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
damit	O	_	_	_	_	O	-	_	-
er	O	_	_	_	_	O	-	_	-
Sicherheitsanstalten	O	_	_	_	_	O	-	_	-
träfe	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Derselbe	O	_	_	_	_	O	-	_	-
ver	O	_	_	_	_	O	-	_	-
¬	O	_	_	_	_	O	-	_	-
sprach	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
Abends	O	_	_	_	_	O	-	_	-
um	O	_	_	_	_	O	-	_	-
6	O	_	_	_	_	O	-	_	-
Uhr	O	_	_	_	_	O	-	_	-
den	O	_	_	_	_	O	-	_	-
franz	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Gesandten	O	_	_	_	_	O	-	_	-
in	O	_	_	_	_	O	-	_	-
seiner	O	_	_	_	_	O	-	_	-
Wohnung	O	_	_	_	_	O	-	_	-
zu	O	_	_	_	_	O	-	_	-
besuchen	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
und	O	_	_	_	_	O	-	_	-
mit	O	_	_	_	_	O	-	_	-
ihm	O	_	_	_	_	O	-	_	-
noch	O	_	_	_	_	O	-	_	-
nähere	O	_	_	_	_	O	-	_	-
Maßregeln	O	_	_	_	_	O	-	_	-
zu	O	_	_	_	_	O	-	_	-
verabreden	O	_	_	_	_	O	-	_	-
