TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = sn83030483-1790-01-02-a-i0004
# hipe2022:date = 1790-01-02
# hipe2022:language = en
# hipe2022:document_type = newspaper
# hipe2022:dataset = hipe2020
# hipe2022:original_source = v1.4.1/en/HIPE-data-v1.4.1-test-en.tsv
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-COARSE-METO NEL-LIT MISC
# hipe2020:doi = https://zenodo.org/record/6046853
# hipe2020:version = v1.4.1
# hipe2020:original_license = CC-BY-NC-SA 4.0
# hipe2020:publication_title = sn83030483
FROM	O	_	_	_	_	O	-	_	-
A	O	_	_	_	_	O	-	_	-
VIRGINIA	B-loc	_	_	_	_	O	Q1370	_	-
PAPER	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
To	O	_	_	_	_	O	-	_	-
his	O	_	_	_	_	O	-	_	-
EXCELLENCY	O	_	_	_	_	O	-	_	-
the	O	_	_	_	_	O	-	_	-
GOVERNOR	O	_	_	_	_	O	-	_	-
GINIA	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
NEW	B-loc	_	_	_	_	O	Q42462	_	-
-	I-loc	_	_	_	_	O	Q42462	_	-
YORK	I-loc	_	_	_	_	O	Q42462	_	-
,	O	_	_	_	_	O	-	_	-
SEPT	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
28	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
1780	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
SIR	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
W	O	_	_	_	_	O	-	_	-
E	O	_	_	_	_	O	-	_	-
have	O	_	_	_	_	O	-	_	-
long	O	_	_	_	_	O	-	_	-
waited	O	_	_	_	_	O	-	_	-
in	O	_	_	_	_	O	-	_	-
anxious	O	_	_	_	_	O	-	_	-
expectations	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
of	O	_	_	_	_	O	-	_	-
having	O	_	_	_	_	O	-	_	-
it	O	_	_	_	_	O	-	_	-
in	O	_	_	_	_	O	-	_	-
our	O	_	_	_	_	O	-	_	-
power	O	_	_	_	_	O	-	_	-
to	O	_	_	_	_	O	-	_	-
tranlinit	O	_	_	_	_	O	-	_	-
effec	O	_	_	_	_	O	-	_	-
¬	O	_	_	_	_	O	-	_	-
tual	O	_	_	_	_	O	-	_	-
Amendments	O	_	_	_	_	O	-	_	-
to	O	_	_	_	_	O	-	_	-
the	O	_	_	_	_	O	-	_	-
Conftitution	O	_	_	_	_	O	-	_	-
of	O	_	_	_	_	O	-	_	-
the	O	_	_	_	_	O	-	_	-
Uni	B-loc	_	_	_	_	O	-	_	-
¬	I-loc	_	_	_	_	O	-	_	-
ted	I-loc	_	_	_	_	O	-	_	-
Stares	I-loc	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
and	O	_	_	_	_	O	-	_	-
it	O	_	_	_	_	O	-	_	-
is	O	_	_	_	_	O	-	_	-
with	O	_	_	_	_	O	-	_	-
grief	O	_	_	_	_	O	-	_	-
that	O	_	_	_	_	O	-	_	-
we	O	_	_	_	_	O	-	_	-
now	O	_	_	_	_	O	-	_	-
fend	O	_	_	_	_	O	-	_	-
forward	O	_	_	_	_	O	-	_	-
propolitions	O	_	_	_	_	O	-	_	-
inadequate	O	_	_	_	_	O	-	_	-
to	O	_	_	_	_	O	-	_	-
the	O	_	_	_	_	O	-	_	-
purpofe	O	_	_	_	_	O	-	_	-
of	O	_	_	_	_	O	-	_	-
real	O	_	_	_	_	O	-	_	-
and	O	_	_	_	_	O	-	_	-
fubftantial	O	_	_	_	_	O	-	_	-
Amendments	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
and	O	_	_	_	_	O	-	_	-
fo	O	_	_	_	_	O	-	_	-
far	O	_	_	_	_	O	-	_	-
fhort	O	_	_	_	_	O	-	_	-
of	O	_	_	_	_	O	-	_	-
the	O	_	_	_	_	O	-	_	-
wiihes	O	_	_	_	_	O	-	_	-
of	O	_	_	_	_	O	-	_	-
our	O	_	_	_	_	O	-	_	-
country	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
By	O	_	_	_	_	O	-	_	-
perufing	O	_	_	_	_	O	-	_	-
the	O	_	_	_	_	O	-	_	-
Journal	O	_	_	_	_	O	-	_	-
of	O	_	_	_	_	O	-	_	-
the	O	_	_	_	_	O	-	_	-
Senate	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
