TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = 11614109_1882-05-01_1_1_001
# hipe2022:date = 1882-05-01
# hipe2022:language = de
# hipe2022:dataset = sonar
# hipe2022:document_type = newspaper
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NEL-LIT MISC
# hipe2022:original_source = 02_ocr_corrected-EL-NER/11614109_1882-05-01_1_1_001-NER-EL.tsv
# sonar:publication_title = NeuesteMittheilungen
# sonar:page = 1
# sonar:version = v1.1
# sonar:doi = https://github.com/sonar-idh/Goldstandard/tree/main/02_ocr_corrected-EL-NER
# sonar:original_license = CC-BY 4.0
Neueſte	O	_	_	_	_	O	-	_	-
Mittheitungen	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Verantwortlicher	O	_	_	_	_	O	-	_	-
Herausgeber	O	_	_	_	_	O	-	_	-
:	O	_	_	_	_	O	-	_	-
Dr	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
H	B-pers	_	_	_	_	O	Q96459|Q853771	_	-
.	I-pers	_	_	_	_	O	Q96459|Q853771	_	-
Klee	I-pers	_	_	_	_	O	Q96459|Q853771	_	-
.	O	_	_	_	_	O	-	_	-
Berlin	B-loc	_	_	_	_	O	Q64	_	-
,	O	_	_	_	_	O	-	_	-
den	O	_	_	_	_	O	-	_	-
1	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Mai	O	_	_	_	_	O	-	_	-
1882	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
No	O	_	_	_	_	O	-	_	-
1	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
—	O	_	_	_	_	O	-	_	-
—	O	_	_	_	_	O	-	_	-
—	O	_	_	_	_	O	-	_	-
—	O	_	_	_	_	O	-	_	-
⏑ů⏑	O	_	_	_	_	O	-	_	-
—	O	_	_	_	_	O	-	_	-
⏑	O	_	_	_	_	O	-	_	-
⏑	O	_	_	_	_	O	-	_	-
⏑	O	_	_	_	_	O	-	_	-
—	O	_	_	_	_	O	-	_	-
Redaction	O	_	_	_	_	O	-	_	-
und	O	_	_	_	_	O	-	_	-
Expedition	O	_	_	_	_	O	-	_	-
:	O	_	_	_	_	O	-	_	-
Berlin	B-loc	_	_	_	_	O	Q64	_	-
W	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
Wilhelmſtraße	B-loc	_	_	_	_	O	Q677808	_	-
84	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
J	O	_	_	_	_	O	-	_	-
u	O	_	_	_	_	O	-	_	-
Auf	O	_	_	_	_	O	-	_	-
zu	O	_	_	_	_	O	-	_	-
neuem	O	_	_	_	_	O	-	_	-
Wirken	O	_	_	_	_	O	-	_	-
fürs	O	_	_	_	_	O	-	_	-
Vaterland	O	_	_	_	_	O	-	_	-
Die	O	_	_	_	_	O	-	_	-
Freunde	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
Regierung	O	_	_	_	_	O	-	_	-
haben	O	_	_	_	_	O	-	_	-
bei	O	_	_	_	_	O	-	_	-
den	O	_	_	_	_	O	-	_	-
letzten	O	_	_	_	_	O	-	_	-
Wahlen	O	_	_	_	_	O	-	_	-
eine	O	_	_	_	_	O	-	_	-
Niederlage	O	_	_	_	_	O	-	_	-
erlitten	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
zwar	O	_	_	_	_	O	-	_	-
nicht	O	_	_	_	_	O	-	_	-
in	O	_	_	_	_	O	-	_	-
dem	O	_	_	_	_	O	-	_	-
Maße	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
wie	O	_	_	_	_	O	-	_	-
es	O	_	_	_	_	O	-	_	-
die	O	_	_	_	_	O	-	_	-
Fortſchrittspartei	B-org	_	_	_	_	O	Q694714	_	-
träumte	O	_	_	_	_	O	-	_	-
und	O	_	_	_	_	O	-	_	-
noch	O	_	_	_	_	O	-	_	-
jetzt	O	_	_	_	_	O	-	_	-
darſtellt	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
aber	O	_	_	_	_	O	-	_	-
doch	O	_	_	_	_	O	-	_	-
eine	O	_	_	_	_	O	-	_	-
wirkliche	O	_	_	_	_	O	-	_	-
empfindliche	O	_	_	_	_	O	-	_	-
Niederlage	O	_	_	_	_	O	-	_	-
:	O	_	_	_	_	O	-	_	-
ſie	O	_	_	_	_	O	-	_	-
können	O	_	_	_	_	O	-	_	-
der	O	_	_	_	_	O	-	_	-
Regierung	O	_	_	_	_	O	-	_	-
des	O	_	_	_	_	O	-	_	-
Kaiſers	O	_	_	_	_	O	-	_	-
und	O	_	_	_	_	O	-	_	-
Königs	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
zur	O	_	_	_	_	O	-	_	-
Geſundung	O	_	_	_	_	O	-	_	-
des	O	_	_	_	_	O	-	_	-
geſammten	O	_	_	_	_	O	-	_	-
Staatslebens	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
nicht	O	_	_	_	_	O	-	_	-
mehr	O	_	_	_	_	O	-	_	-
eine	O	_	_	_	_	O	-	_	-
ſo	O	_	_	_	_	O	-	_	-
ſtarke	O	_	_	_	_	O	-	_	-
Stütze	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
wie	O	_	_	_	_	O	-	_	-
ſeit	O	_	_	_	_	O	-	_	-
einigen	O	_	_	_	_	O	-	_	-
Jahren	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
gewähren	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
ihnen	O	_	_	_	_	O	-	_	-
vom	O	_	_	_	_	O	-	_	-
Thron	O	_	_	_	_	O	-	_	-
herab	O	_	_	_	_	O	-	_	-
vorangetragen	O	_	_	_	_	O	-	_	-
wird	O	_	_	_	_	O	-	_	-
.	O	_	_	_	_	O	-	_	-
Die	O	_	_	_	_	O	-	_	-
Niederlage	O	_	_	_	_	O	-	_	-
würde	O	_	_	_	_	O	-	_	-
aber	O	_	_	_	_	O	-	_	-
eine	O	_	_	_	_	O	-	_	-
verhängnißvolle	O	_	_	_	_	O	-	_	-
erſt	O	_	_	_	_	O	-	_	-
dann	O	_	_	_	_	O	-	_	-
werden	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
wenn	O	_	_	_	_	O	-	_	-
wir	O	_	_	_	_	O	-	_	-
nun	O	_	_	_	_	O	-	_	-
den	O	_	_	_	_	O	-	_	-
Kopf	O	_	_	_	_	O	-	_	-
hängen	O	_	_	_	_	O	-	_	-
laſſen	O	_	_	_	_	O	-	_	-
,	O	_	_	_	_	O	-	_	-
und	O	_	_	_	_	O	-	_	-
ſtatt	O	_	_	_	_	O	-	_	-
einer	O	_	_	_	_	O	-	_	-
